Time,192.168.1.179,192.168.1.200,192.168.1.206,192.168.1.207
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,9,9,0,0
30,9,9,9,9
35,9,9,9,9
40,9,9,9,9
45,9,9,9,9
50,9,9,9,9
55,9,9,9,9
60,9,9,9,9
65,9,9,9,9
70,9,9,9,9
75,9,9,9,9
80,9,9,9,9
85,9,9,9,9
90,9,9,9,9
95,12,12,12,9
100,12,12,12,9
105,12,12,12,9
110,12,12,12,9
115,12,12,12,9
120,12,12,12,9
125,12,12,12,9
130,12,12,12,9
135,12,12,12,9
140,12,12,12,9
145,12,12,12,9
150,18,18,12,9
155,18,18,12,9
160,18,18,12,9
165,18,18,12,9
170,18,18,12,9
175,18,18,12,9
180,18,18,12,9
185,18,18,12,9
190,18,18,12,9
195,18,18,12,9
200,18,18,12,9
205,18,18,12,9
210,18,0,12,9
215,18,0,12,9
220,18,0,12,9
225,18,0,12,9
230,18,0,12,9
235,18,0,12,9
240,18,0,12,9
245,18,0,12,9
250,18,0,12,9
255,18,0,12,9
260,18,0,12,9
265,18,0,12,9
270,18,0,12,9
275,18,0,12,9
280,18,0,12,9
