Time,192.168.1.179,192.168.1.200,192.168.1.206,192.168.1.207
0,10,0,0,0
5,10,0,0,0
10,16,10,10,10
15,21,15,15,15
20,26,21,21,21
25,33,26,21,26
30,38,32,26,26
35,44,32,32,32
40,49,37,37,37
45,55,42,43,42
50,60,48,48,48
55,60,53,53,48
60,66,59,59,48
65,71,64,64,48
70,77,70,70,48
75,82,75,75,48
80,87,80,81,48
85,93,86,81,48
90,99,92,86,48
95,104,92,91,48
100,109,97,97,48
105,115,103,102,48
110,120,108,108,48
115,120,114,108,48
120,126,119,108,48
125,131,124,108,48
130,136,130,108,48
135,142,135,108,48
140,147,141,108,48
145,153,146,108,48
150,159,152,108,48
155,165,152,108,48
160,170,157,108,48
165,170,162,108,48
170,176,168,108,48
175,176,173,108,48
180,176,179,108,48
185,176,184,108,48
190,176,190,108,48
195,176,195,108,48
200,176,200,108,48
205,176,200,108,48
210,176,207,108,48
215,176,3,108,48
220,176,3,108,48
225,176,5,108,48
230,176,10,108,48
235,176,16,108,48
240,176,16,108,48
245,176,21,108,48
250,176,26,108,48
255,176,32,108,48
260,176,37,108,48
265,176,42,108,48
270,176,48,108,48
275,176,53,108,48
280,176,53,108,48
