Time,192.168.1.179,192.168.1.200,192.168.1.206,192.168.1.207
0,0,0,0,0
10,16,10,0,10
20,26,21,15,15
30,38,26,26,26
40,49,37,37,37
50,55,48,48,48
60,66,59,59,48
70,77,70,64,48
80,87,80,75,48
90,99,86,86,48
100,109,97,97,48
110,115,108,108,48
120,126,119,108,48
130,136,130,108,48
140,147,141,108,48
150,159,146,108,48
160,165,157,108,48
170,176,168,108,48
180,176,179,108,48
190,176,190,108,48
200,176,200,108,48
210,176,207,108,48
220,176,3,108,48
230,176,5,108,48
240,176,16,108,48
250,176,26,108,48
260,176,37,108,48
270,176,48,108,48
280,176,53,108,48
