"Time","id","nodes","nr"
1592521750000,192.168.1.179,,0
1592521756000,192.168.1.179,,0
1592521761000,192.168.1.179,,0
1592521767000,192.168.1.179,,0
1592521773000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521779000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521784000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521790000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521795000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521800000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521806000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521811000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521817000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521822000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521828000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521833000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521839000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027,9
1592521844000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521850000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521855000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521860000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521866000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521872000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521877000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
1592521882000,192.168.1.179,temperature-humidity:e4515a1d530a9 if:8d5d87af193fa8 and:7d19eda1e47054 and:4da9751a0ddf6c temperature-humidity:1bc9ec6d9799a4 if:c7c4fca114f348 and:a0aacb25d54e48 if:baaf4db9ddc968 if:910eb0bbc2027 if:b1393fd5b7d0a8 and:b0aa0bb0d000a temperature-humidity:6dd53e6f9a0a2,12
