"Time","Device","Duration","State"
1592521773000,192.168.1.179,7442,1
1592521840000,192.168.1.179,7258,1
1592521899000,192.168.1.179,8177,1
1592521772000,192.168.1.200,7027,1
1592521840000,192.168.1.200,7463,1
1592521899000,192.168.1.200,7775,1
1592521956000,192.168.1.200,4330,0
1592521959000,192.168.1.200,3394,0
1592521962000,192.168.1.200,3322,0
1592521966000,192.168.1.200,3251,0
1592521772000,192.168.1.206,6448,1
1592521840000,192.168.1.206,7506,1
1592521773000,192.168.1.207,7223,1

