"Time","6265f41ce362","7f0d729b5c43","e77e1fc9e3b9","ff83f9bd38a4"
1591447837000,,,,
1591447838000,97952,,,97280
1591447839000,,97312,97344,
1591447840000,,,,
1591447841000,,,,
1591447842000,,,,
1591447843000,,,,
1591447844000,79488,78208,79488,78240
1591447845000,,,,
1591447846000,,,,
1591447847000,,,,
1591447848000,,,,
1591447849000,86368,85728,87008,87040
1591447850000,,,,
1591447851000,,,,
1591447852000,,,,
1591447853000,,,,
1591447854000,96032,93472,94752,96064
1591447855000,,,,
1591447856000,,,,
1591447857000,,,,
1591447858000,,,,
1591447859000,102368,101088,101088,101120
1591447860000,,,,
1591447861000,,,,
1591447862000,,,,
1591447863000,,,,
1591447864000,111328,108768,110048,110080
1591447865000,,,,
1591447866000,,,,
1591447867000,,,,
1591447868000,,,,
1591447869000,119008,,116448,114560
1591447870000,,,,
1591447871000,,,,
1591447872000,,,,
1591447873000,,,,
1591447874000,126688,,,126080
1591447875000,,,126752,
1591447876000,,,,
1591447877000,,95552,,
1591447878000,,,,
1591447879000,,,,69760
1591447880000,71648,,70368,
1591447881000,,,,
1591447882000,,99392,,
1591447883000,,,,
1591447884000,,,,
1591447885000,78688,,78688,78080
1591447886000,,,,
1591447887000,,71872,,
1591447888000,,,,
1591447889000,,,,
1591447890000,88288,,85728,85760
1591447891000,,,,
1591447892000,,97888,,
1591447893000,,,,
1591447894000,,,,
1591447895000,89184,,104128,129280
1591447896000,,,,
1591447897000,,111872,,
1591447898000,,,,
1591447899000,,,,
1591447900000,108512,,119648,103232
1591447901000,,,,
1591447902000,,123712,,
1591447903000,,,,
1591447904000,,,,
1591447905000,120896,,131808,116672
1591447906000,,,,
1591447907000,,137088,,
1591447908000,,,,
1591447909000,,,,
1591447910000,134784,,,128192
1591447911000,,,,
1591447912000,,,,
1591447913000,,144352,136480,
1591447914000,,,,
1591447915000,,,,82496
1591447916000,91264,,,
1591447917000,,,,
1591447918000,,154112,146784,
1591447919000,,,,
1591447920000,,,,
1591447921000,109152,,,
1591447922000,,,,
1591447923000,,98240,98368,
1591447924000,,,,
1591447925000,,,,
1591447926000,128448,,,
1591447927000,,,,
1591447928000,,115296,97056,
1591447929000,,,,
1591447930000,,,,
1591447931000,142240,,,
1591447932000,,,,
1591447933000,,124896,108480,
1591447934000,,,,
1591447935000,,,,
1591447936000,155104,,,
1591447937000,,,,
1591447938000,,113248,106656,
1591447939000,,,,
1591447940000,,,,
1591447941000,97024,,,
1591447942000,,,,
1591447943000,,129120,124288,
1591447944000,,,,
1591447945000,,,,
1591447946000,116064,,,
1591447947000,,,,
1591447948000,,,,
1591447949000,,151936,144576,
1591447950000,,,,
1591447951000,,,,
1591447952000,101376,,,
1591447953000,,,,
1591447954000,,171968,159136,
1591447955000,,,,
1591447956000,,,,
1591447957000,116000,,,
1591447958000,,,,
1591447959000,,,106432,
1591447960000,,,,
1591447961000,,,,
1591447962000,129504,,,
1591447963000,,,,
1591447964000,,,137600,
1591447965000,,,,
1591447966000,,,,
1591447967000,161888,,,
1591447968000,,,,
1591447969000,,,162976,
1591447970000,,,,
1591447971000,,,,
1591447972000,173024,,,
1591447973000,,,,
1591447974000,,,113600,
1591447975000,,,,
1591447976000,,,,
1591447977000,120544,,,
1591447978000,,,,
1591447979000,,,125312,
1591447980000,,,,
1591447981000,,,,
1591447982000,,,,
1591447983000,134624,,,
1591447984000,,,,
1591447985000,,,149920,
1591447986000,,,,
1591447987000,,,,
1591447988000,115872,,,
1591447989000,,,,
1591447990000,,,103264,
1591447991000,,,,
1591447992000,,,,
1591447993000,130784,,,
1591447994000,,,,
1591447995000,,,121152,
1591447996000,,,,
1591447997000,,,,
1591447998000,144224,,,
1591447999000,,,,
1591448000000,,,136864,
1591448001000,,,,
1591448002000,,,,
1591448003000,,,,
1591448004000,,,,
1591448005000,,,133920,
1591448006000,,,,
1591448007000,,,,
1591448008000,,,,
1591448009000,,,,
1591448010000,,,171104,
1591448011000,,,,
1591448012000,,,,
1591448013000,,,,
1591448014000,,,,
1591448015000,,,,
1591448016000,,,177664,
1591448017000,,,,
1591448018000,,,,
1591448019000,,,,
1591448020000,,,,
1591448021000,,,194240,
1591448022000,,,,
1591448023000,,,,
1591448024000,,,,
1591448025000,,,,
1591448026000,,,147712,
1591448027000,,,,
1591448028000,,,,
1591448029000,,,,
1591448030000,,,,
1591448031000,,,166592,
1591448032000,,,,
1591448033000,,,,
1591448034000,,,,
1591448035000,,,,
1591448036000,,,174976,
1591448037000,,,,
1591448038000,,,,
1591448039000,,,,
1591448040000,,,,
1591448041000,,,135744,
1591448042000,,,,
1591448043000,,,,
1591448044000,,,,
1591448045000,,,,
1591448046000,,,,
1591448047000,,,151264,
1591448048000,,,,
1591448049000,,,,
1591448050000,,,,
1591448051000,,,,
1591448052000,,,161248,
1591448053000,,,,
1591448054000,,,,
1591448055000,,,,
1591448056000,,,,
1591448057000,,,170272,
1591448058000,,,,
1591448059000,,,,
1591448060000,,,,
1591448061000,,,,
1591448062000,,,147488,
1591448063000,,,,
1591448064000,,,,
1591448065000,,,,
1591448066000,,,,
1591448067000,,,153984,
1591448068000,,,,
1591448069000,,,,
1591448070000,,,,
1591448071000,,,,
1591448072000,,,164512,
1591448073000,,,,
1591448074000,,,,
1591448075000,,,,
1591448076000,,,,
1591448077000,,,137440,
1591448078000,,,,
1591448079000,,,,
1591448080000,,,,
1591448081000,,,,
1591448082000,,,,
1591448083000,,,152768,
1591448084000,,,,
1591448085000,,,,
1591448086000,,,,
1591448087000,,,,
1591448088000,,,161664,
1591448089000,,,,
1591448090000,,,,
1591448091000,,,,
1591448092000,,,,
1591448093000,,,171104,
1591448094000,,,,
1591448095000,,,,
1591448096000,,,,
1591448097000,,,,
1591448098000,,,147584,
1591448099000,,,,
1591448100000,,,,
1591448101000,,,,
1591448102000,,,,
1591448103000,,,156352,
1591448104000,,,,
1591448105000,,,,
1591448106000,,,,
1591448107000,,,,
1591448108000,,,176384,
1591448109000,,,,
1591448110000,,,,
1591448111000,,,,
1591448112000,,,,
1591448113000,,,,
1591448114000,,,151328,
1591448115000,,,,
1591448116000,,,,
1591448117000,,,,
1591448118000,,,,

