Time,6265f41ce362,7f0d729b5c43,e77e1fc9e3b9,ff83f9bd38a4
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,9,0,0
60,9,9,9,9
65,9,9,9,9
70,9,9,9,9
75,9,9,9,9
80,9,9,9,9
85,9,9,9,9
90,12,9,9,9
95,12,12,12,9
100,12,12,12,9
105,12,12,12,9
110,12,12,12,9
115,12,12,12,9
120,12,12,12,9
125,12,12,12,9
130,18,12,18,9
135,18,12,18,9
140,18,12,18,9
145,18,12,18,9
150,18,12,18,9
155,18,12,18,9
160,18,12,18,9
165,18,12,18,9
170,18,12,34,9
175,18,12,34,9
180,18,12,34,9
185,18,12,34,9
190,18,12,34,9
195,18,12,34,9
200,18,12,34,9
205,18,12,34,9
210,18,12,34,9
215,18,12,34,9
220,18,12,34,9
225,18,12,34,9
230,18,12,34,9
235,18,12,34,9
240,18,12,34,9
245,18,12,34,9
250,18,12,34,9
255,18,12,34,9
260,18,12,34,9
265,18,12,34,9
270,18,12,34,9
275,18,12,34,9
280,18,12,34,9
285,18,12,34,9
290,18,12,34,9
295,18,12,34,9
300,18,12,34,9
