Time,6265f41ce362,7f0d729b5c43,e77e1fc9e3b9,ff83f9bd38a4
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,0,0,0,0
60,9,9,9,9
70,9,9,9,9
80,9,9,9,9
90,12,9,9,9
100,12,12,12,9
110,12,12,12,9
120,12,12,12,9
130,18,12,18,9
140,18,12,18,9
150,18,12,18,9
160,18,12,18,9
170,18,12,34,9
180,18,12,34,9
190,18,12,34,9
200,18,12,34,9
210,18,12,34,9
220,18,12,34,9
230,18,12,34,9
240,18,12,34,9
250,18,12,34,9
260,18,12,34,9
270,18,12,34,9
280,18,12,34,9
290,18,12,34,9
300,18,12,34,9
