Time,6265f41ce362,7f0d729b5c43,e77e1fc9e3b9,ff83f9bd38a4
0,0,0,0,0
5,0,0,0,0
10,5,5,5,5
15,10,10,10,10
20,15,15,15,15
25,20,20,20,20
30,25,25,25,25
35,31,30,31,31
40,36,38,36,36
45,41,43,41,41
50,46,48,46,46
55,51,53,51,51
60,56,58,56,56
65,61,63,61,61
70,66,68,66,66
75,72,68,66,72
80,77,74,66,77
85,82,79,79,77
90,87,84,84,77
95,92,89,89,77
100,97,94,94,77
105,103,99,99,77
110,108,105,105,77
115,113,110,110,77
120,118,115,115,77
125,123,115,120,77
130,128,115,125,77
135,133,115,130,77
140,139,115,135,77
145,144,115,141,77
150,144,115,146,77
155,149,115,151,77
160,154,115,156,77
165,159,115,161,77
170,159,115,166,77
175,159,115,172,77
180,159,115,177,77
185,159,115,182,77
190,159,115,187,77
195,159,115,192,77
200,159,115,197,77
205,159,115,202,77
210,159,115,208,77
215,159,115,213,77
220,159,115,218,77
225,159,115,223,77
230,159,115,228,77
235,159,115,233,77
240,159,115,239,77
245,159,115,239,77
250,159,115,244,77
255,159,115,249,77
260,159,115,254,77
265,159,115,259,77
270,159,115,264,77
275,159,115,269,77
280,159,115,275,77
285,159,115,280,77
290,159,115,285,77
295,159,115,290,77
300,159,115,290,77
