Time,a4a5072f8ff0,fb897af970b5,60b90bf4acfc,b6759833b9d8
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,9,9,9,9
45,9,9,9,9
50,9,9,9,9
55,9,9,9,9
60,9,9,9,9
65,9,9,9,9
70,9,9,9,9
75,9,9,9,9
80,18,9,18,9
85,18,0,18,9
90,18,0,18,9
95,18,0,18,9
100,18,0,18,9
105,18,0,18,9
110,18,0,18,9
115,12,12,12,9
120,12,12,12,9
125,12,12,12,9
130,12,12,12,9
135,18,12,18,9
140,18,0,18,9
145,12,12,12,0
150,12,12,12,0
155,9,12,9,9
160,9,9,9,9
165,9,9,9,9
170,9,9,9,9
175,9,9,9,9
180,12,9,12,9
185,18,9,12,9
190,18,0,18,0
195,18,0,18,0
200,18,0,18,0
205,12,12,18,12
210,12,12,18,12
215,12,12,18,12
220,12,12,18,12
225,12,12,18,12
230,12,12,18,12
235,9,9,9,9
240,9,9,9,9
245,9,9,9,9
250,9,9,9,9
255,9,9,9,9
260,9,9,9,9
265,9,9,9,9
270,9,9,9,9
275,9,9,9,9
280,9,9,9,9
285,9,9,9,9
290,9,9,9,9
295,9,9,9,9
300,9,9,9,9
305,9,9,9,9
310,9,9,9,9
315,9,9,9,9
320,9,9,9,9
