Time,a4a5072f8ff0,fb897af970b5,60b90bf4acfc,b6759833b9d8
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,9,9,9,9
60,9,9,9,9
70,9,9,9,9
80,9,9,9,9
90,18,9,18,9
100,18,0,18,9
110,18,0,18,9
120,18,0,18,9
130,12,12,12,9
140,12,12,12,9
150,18,0,18,9
160,12,12,12,0
170,9,9,9,9
180,9,9,9,9
190,9,9,9,9
200,18,0,18,0
210,18,0,18,0
220,12,12,18,12
230,12,12,18,12
240,12,12,18,12
250,9,9,9,9
260,9,9,9,9
270,9,9,9,9
280,9,9,9,9
290,9,9,9,9
300,9,9,9,9
310,9,9,9,9
320,9,9,9,9
330,9,9,9,9
340,9,9,9,9
