Time,60b90bf4acfc,a4a5072f8ff0,b6759833b9d8,fb897af970b5
0,10,10,10,10
5,15,15,15,15
10,20,20,15,15
15,20,25,20,20
20,25,30,25,25
25,30,30,31,31
30,36,35,36,36
35,41,41,41,41
40,46,46,46,46
45,51,51,51,51
50,56,56,56,56
55,61,61,61,56
60,66,66,67,56
65,72,71,67,56
70,77,77,67,56
75,82,82,67,56
80,87,87,67,56
85,92,92,67,0
90,97,97,67,5
95,103,102,67,10
100,108,108,67,10
105,113,113,67,0
110,118,118,67,5
115,123,123,67,10
120,128,128,67,10
125,133,133,67,10
130,139,138,67,10
135,144,144,67,10
140,149,149,0,10
145,154,154,5,0
150,159,159,10,5
155,164,164,15,10
160,169,169,20,15
165,175,175,20,20
170,180,180,20,25
175,185,185,20,25
180,190,190,20,25
185,195,195,20,25
190,195,200,0,0
195,200,200,5,5
200,206,205,10,10
205,211,211,15,15
210,216,216,20,20
215,221,221,25,25
220,226,226,31,31
225,231,231,36,36
230,236,236,41,41
235,242,242,46,46
240,247,247,51,51
245,252,252,56,56
250,257,257,61,61
255,262,262,67,67
260,267,267,72,72
265,273,272,77,77
270,278,278,82,82
275,283,283,87,87
280,288,288,92,92
285,293,293,98,98
290,298,298,98,103
295,303,303,105,108
300,309,308,110,113
305,314,314,115,118
310,319,319,120,123
315,319,319,125,123
320,319,319,125,123
