"Time","60b90bf4acfc","a4a5072f8ff0","b6759833b9d8","fb897af970b5"
1592601309000,15822,13345,14925,12790
1592601314000,15822,13345,14925,12790
1592601319000,15822,13345,14925,
1592601325000,15822,,14925,
1592601330000,15822,13345,14925,
1592601335000,15822,13345,,
1592601340000,15822,13345,,
1592601345000,15822,13345,,
1592601350000,29703,25091,,
1592601355000,29703,25091,,
1592601361000,29703,,,
1592601366000,29703,25091,,
1592601371000,29703,25091,,
1592601376000,29703,25091,,
1592601381000,29703,25091,,
1592601386000,20388,17720,,
1592601391000,20388,17720,,
1592601397000,20388,17720,,
1592601402000,20388,17720,,
1592601407000,29703,25091,,
1592601412000,29703,25091,,
1592601417000,18602,17720,,
1592601422000,18602,17720,,
1592601428000,15822,,,
1592601433000,15822,13345,,
1592601438000,15822,13345,,
1592601443000,15822,13345,,
1592601448000,15822,13345,,
1592601453000,20388,17720,,
1592601458000,29703,25091,,
1592601464000,29703,,,
1592601469000,29703,25091,,
1592601474000,15822,17738,,17733
1592601479000,15822,17738,,17733
1592601484000,15822,17738,,17733
1592601489000,15822,17738,,
1592601495000,15822,,20367,17733
1592601500000,15822,17738,20367,17733
1592601505000,15822,13345,14925,12790
1592601510000,15822,13345,,12790
1592601515000,15822,13345,,12790
1592601520000,15822,13345,,12790
1592601525000,15822,13345,,
1592601531000,15822,,14925,12790
1592601536000,15822,13345,14925,12790
1592601541000,15822,13345,,12790
1592601324000,,13345,,
1592601360000,,25091,,
1592601427000,,13345,,14040
1592601463000,,25091,,
1592601494000,,17738,,
1592601530000,,13345,,
1592601415000,,,19516,
1592601420000,,,19516,
1592601425000,,,19516,
1592601430000,,,13675,
1592601475000,,,20367,
1592601480000,,,20367,
1592601485000,,,20367,
1592601490000,,,20367,17733
1592601511000,,,14925,
1592601516000,,,14925,
1592601521000,,,14925,
1592601526000,,,14925,12790
1592601542000,,,14925,
1592601320000,,,,12790
1592601388000,,,,17730
1592601432000,,,,14040
1592601437000,,,,14040
1592601442000,,,,14040

