Time,a4a5072f8ff0,fb897af970b5,60b90bf4acfc,b6759833b9d8
1592601273000,0,,,
1592601278000,0,,,
1592601283000,0,,,
1592601288000,0,,,
1592601294000,0,,,
1592601299000,0,,,
1592601304000,0,,,
1592601309000,9,,,
1592601314000,9,,,
1592601319000,9,,,
1592601324000,9,,,
1592601330000,9,,,
1592601335000,9,,,
1592601340000,9,,,
1592601345000,9,,,
1592601350000,18,,,
1592601355000,18,,,
1592601361000,18,,,
1592601366000,18,,,
1592601371000,18,,,
1592601376000,18,,,
1592601381000,18,,,
1592601386000,12,,,
1592601391000,12,,,
1592601397000,12,,,
1592601402000,12,,,
1592601407000,18,,,
1592601412000,18,,,
1592601417000,12,,,
1592601422000,12,,,
1592601428000,9,,,
1592601433000,9,,,
1592601438000,9,,,
1592601443000,9,,,
1592601448000,9,,,
1592601453000,12,,,
1592601458000,18,,,
1592601464000,18,,,
1592601469000,18,,,
1592601474000,12,,,
1592601479000,12,,,
1592601484000,12,,,
1592601489000,12,,,
1592601495000,12,,,
1592601500000,12,,,
1592601505000,9,,,
1592601510000,9,,,
1592601515000,9,,,
1592601520000,9,,,
1592601525000,9,,,
1592601531000,9,,,
1592601536000,9,,,
1592601541000,9,,,
1592601546000,9,,,
1592601551000,9,,,
1592601556000,9,,,
1592601561000,9,,,
1592601567000,9,,,
1592601572000,9,,,
1592601577000,9,,,
1592601263000,,0,,
1592601268000,,0,,
1592601273000,,0,,
1592601279000,,0,,
1592601284000,,0,,
1592601289000,,0,,
1592601294000,,0,,
1592601299000,,0,,
1592601304000,,0,,
1592601309000,,9,,
1592601315000,,9,,
1592601320000,,9,,
1592601354000,,0,,
1592601359000,,0,,
1592601364000,,0,,
1592601378000,,0,,
1592601383000,,0,,
1592601388000,,12,,
1592601410000,,0,,
1592601415000,,12,,
1592601420000,,12,,
1592601425000,,12,,
1592601430000,,9,,
1592601459000,,0,,
1592601464000,,0,,
1592601469000,,0,,
1592601474000,,12,,
1592601479000,,12,,
1592601484000,,12,,
1592601490000,,12,,
1592601495000,,12,,
1592601500000,,12,,
1592601505000,,9,,
1592601510000,,9,,
1592601515000,,9,,
1592601521000,,9,,
1592601526000,,9,,
1592601531000,,9,,
1592601536000,,9,,
1592601541000,,9,,
1592601546000,,9,,
1592601551000,,9,,
1592601557000,,9,,
1592601562000,,9,,
1592601567000,,9,,
1592601572000,,9,,
1592601577000,,9,,
1592601263000,,,0,
1592601268000,,,0,
1592601273000,,,0,
1592601278000,,,0,
1592601283000,,,0,
1592601289000,,,0,
1592601294000,,,0,
1592601299000,,,0,
1592601304000,,,0,
1592601309000,,,9,
1592601314000,,,9,
1592601319000,,,9,
1592601325000,,,9,
1592601330000,,,9,
1592601335000,,,9,
1592601340000,,,9,
1592601345000,,,9,
1592601350000,,,18,
1592601356000,,,18,
1592601361000,,,18,
1592601366000,,,18,
1592601371000,,,18,
1592601376000,,,18,
1592601381000,,,18,
1592601386000,,,12,
1592601392000,,,12,
1592601397000,,,12,
1592601402000,,,12,
1592601407000,,,18,
1592601412000,,,18,
1592601417000,,,12,
1592601422000,,,12,
1592601428000,,,9,
1592601433000,,,9,
1592601438000,,,9,
1592601443000,,,9,
1592601448000,,,9,
1592601453000,,,12,
1592601459000,,,18,
1592601464000,,,18,
1592601469000,,,18,
1592601474000,,,18,
1592601479000,,,18,
1592601484000,,,18,
1592601489000,,,18,
1592601495000,,,18,
1592601500000,,,18,
1592601505000,,,9,
1592601510000,,,9,
1592601515000,,,9,
1592601520000,,,9,
1592601526000,,,9,
1592601531000,,,9,
1592601536000,,,9,
1592601541000,,,9,
1592601546000,,,9,
1592601551000,,,9,
1592601556000,,,9,
1592601562000,,,9,
1592601567000,,,9,
1592601572000,,,9,
1592601577000,,,9,
1592601263000,,,,0
1592601268000,,,,0
1592601273000,,,,0
1592601278000,,,,0
1592601284000,,,,0
1592601289000,,,,0
1592601294000,,,,0
1592601299000,,,,0
1592601304000,,,,0
1592601309000,,,,9
1592601314000,,,,9
1592601320000,,,,9
1592601325000,,,,9
1592601330000,,,,9
1592601417000,,,,0
1592601422000,,,,0
1592601427000,,,,9
1592601432000,,,,9
1592601437000,,,,9
1592601443000,,,,9
1592601459000,,,,0
1592601464000,,,,0
1592601469000,,,,0
1592601475000,,,,12
1592601480000,,,,12
1592601485000,,,,12
1592601490000,,,,12
1592601495000,,,,12
1592601500000,,,,12
1592601506000,,,,9
1592601511000,,,,9
1592601516000,,,,9
1592601521000,,,,9
1592601526000,,,,9
1592601531000,,,,9
1592601536000,,,,9
1592601542000,,,,9
1592601547000,,,,9
1592601552000,,,,9
1592601564000,,,,9
1592601569000,,,,9
1592601574000,,,,9
1592601580000,,,,9
