"Time","Device","Duration","State"
1592601306000,172.23.0.11,309,1
1592601346000,172.23.0.11,324,1
1592601354000,172.23.0.11,280,1
1592601378000,172.23.0.11,281,1
1592601384000,172.23.0.11,313,1
1592601406000,172.23.0.11,275,1
1592601410000,172.23.0.11,274,1
1592601414000,172.23.0.11,281,1
1592601417000,172.23.0.11,267,1
1592601426000,172.23.0.11,265,1
1592601451000,172.23.0.11,267,1
1592601456000,172.23.0.11,268,1
1592601459000,172.23.0.11,10,0
1592601471000,172.23.0.11,266,1
1592601472000,172.23.0.11,314,1
1592601486000,172.23.0.11,300,1
1592601487000,172.23.0.11,274,1
1592601501000,172.23.0.11,290,1
1592601306000,172.23.0.12,312,1
1592601353000,172.23.0.12,13,0
1592601378000,172.23.0.12,15,0
1592601384000,172.23.0.12,285,1
1592601409000,172.23.0.12,10,0
1592601414000,172.23.0.12,285,1
1592601417000,172.23.0.12,298,1
1592601426000,172.23.0.12,267,1
1592601459000,172.23.0.12,10,0
1592601471000,172.23.0.12,271,1
1592601472000,172.23.0.12,294,1
1592601486000,172.23.0.12,264,1
1592601487000,172.23.0.12,267,1
1592601501000,172.23.0.12,270,1
1592601306000,172.23.0.13,324,1
1592601346000,172.23.0.13,317,1
1592601354000,172.23.0.13,355,1
1592601378000,172.23.0.13,378,1
1592601384000,172.23.0.13,285,1
1592601406000,172.23.0.13,279,1
1592601410000,172.23.0.13,343,1
1592601414000,172.23.0.13,290,1
1592601417000,172.23.0.13,332,1
1592601426000,172.23.0.13,271,1
1592601451000,172.23.0.13,265,1
1592601456000,172.23.0.13,271,1
1592601459000,172.23.0.13,7,0
1592601471000,172.23.0.13,219,0
1592601486000,172.23.0.13,11,0
1592601501000,172.23.0.13,282,1
1592601306000,172.23.0.14,309,1
1592601417000,172.23.0.14,10,0
1592601426000,172.23.0.14,273,1
1592601456000,172.23.0.14,5006,0
1592601459000,172.23.0.14,8,0
1592601471000,172.23.0.14,275,1
1592601472000,172.23.0.14,319,1
1592601486000,172.23.0.14,267,1
1592601487000,172.23.0.14,301,1
1592601501000,172.23.0.14,295,1

