Time,a4a5072f8ff0,fb897af970b5,60b90bf4acfc,b6759833b9d8
1592601306000,309,,,
1592601346000,324,,,
1592601354000,280,,,
1592601378000,281,,,
1592601384000,313,,,
1592601406000,275,,,
1592601410000,274,,,
1592601414000,281,,,
1592601417000,267,,,
1592601426000,265,,,
1592601451000,267,,,
1592601456000,268,,,
1592601459000,10,,,
1592601471000,266,,,
1592601472000,314,,,
1592601486000,300,,,
1592601487000,274,,,
1592601501000,290,,,
1592601306000,,312,,
1592601353000,,13,,
1592601378000,,15,,
1592601384000,,285,,
1592601409000,,10,,
1592601414000,,285,,
1592601417000,,298,,
1592601426000,,267,,
1592601459000,,10,,
1592601471000,,271,,
1592601472000,,294,,
1592601486000,,264,,
1592601487000,,267,,
1592601501000,,270,,
1592601306000,,,324,
1592601346000,,,317,
1592601354000,,,355,
1592601378000,,,378,
1592601384000,,,285,
1592601406000,,,279,
1592601410000,,,343,
1592601414000,,,290,
1592601417000,,,332,
1592601426000,,,271,
1592601451000,,,265,
1592601456000,,,271,
1592601459000,,,7,
1592601471000,,,219,
1592601486000,,,11,
1592601501000,,,282,
1592601306000,,,,309
1592601417000,,,,10
1592601426000,,,,273
1592601456000,,,,5006
1592601459000,,,,8
1592601471000,,,,275
1592601472000,,,,319
1592601486000,,,,267
1592601487000,,,,301
1592601501000,,,,295
