Time,192.168.1.165,192.168.1.179,192.168.1.200,192.168.1.206
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,9,9,9,9
40,9,9,9,9
50,9,9,9,9
60,9,9,9,9
70,9,9,9,9
80,9,9,9,9
90,9,9,9,9
100,9,9,9,9
110,9,9,9,9
120,9,9,9,9
130,9,9,9,9
140,9,9,9,9
150,9,9,9,9
160,9,9,9,9
170,9,9,9,9
180,9,9,9,9
190,9,9,9,9
200,9,9,9,9
210,9,9,9,9
220,9,9,9,9
230,9,9,9,9
240,9,9,9,9
250,9,9,9,9
260,9,9,9,9
270,9,9,9,9
280,9,9,9,9
290,9,9,9,9
300,9,9,9,9
310,9,9,9,9
320,9,9,9,9
330,9,9,9,9
340,9,9,9,9
