Time,192.168.1.165,192.168.1.179,192.168.1.200,192.168.1.206
0,0,0,0,0
5,10,10,10,10
10,15,15,15,16
15,21,21,21,21
20,26,26,26,26
25,31,31,31,32
30,37,37,31,37
35,37,37,37,43
40,37,42,42,43
45,37,48,48,48
50,53,53,53,53
55,59,58,59,59
60,64,64,64,64
65,72,69,70,70
70,78,75,75,75
75,78,80,81,81
80,84,86,86,86
85,89,91,91,92
90,95,97,91,97
95,101,97,97,102
100,107,102,102,102
105,107,108,108,108
110,107,113,113,113
115,121,118,119,119
120,121,124,124,124
125,130,129,130,130
130,135,135,135,135
135,135,140,141,141
140,135,146,146,146
145,151,151,146,151
150,156,157,152,157
155,156,157,157,162
160,164,162,163,162
165,169,168,168,168
170,169,173,173,173
175,169,178,179,179
180,183,184,184,184
185,192,189,190,190
190,198,195,195,195
195,198,200,201,200
200,204,206,206,206
205,210,211,206,211
210,210,217,212,217
215,210,217,217,222
220,228,222,223,222
225,233,228,228,228
230,233,233,234,233
235,239,238,239,239
240,239,244,245,244
245,239,249,250,249
250,239,255,256,255
255,239,260,261,260
260,266,266,266,266
265,266,271,266,271
270,276,277,272,277
275,282,277,277,282
280,282,282,283,287
285,288,288,288,287
290,294,293,294,293
295,294,298,299,298
300,294,304,305,304
305,312,309,310,309
310,312,315,316,315
315,319,320,321,320
320,325,326,321,325
325,325,331,327,331
330,325,337,332,336
335,343,337,337,342
340,343,342,343,342
