Time,192.168.1.165,192.168.1.179,192.168.1.200,192.168.1.206
0,0,0,0,0
10,15,15,15,16
20,26,26,26,26
30,37,37,31,37
40,37,42,42,43
50,53,53,53,53
60,64,64,64,64
70,78,75,75,75
80,84,86,86,86
90,95,97,91,97
100,107,102,102,102
110,107,113,113,113
120,121,124,124,124
130,135,135,135,135
140,135,146,146,146
150,156,157,152,157
160,164,162,163,162
170,169,173,173,173
180,183,184,184,184
190,198,195,195,195
200,204,206,206,206
210,210,217,212,217
220,228,222,223,222
230,233,233,234,233
240,239,244,245,244
250,239,255,256,255
260,266,266,266,266
270,276,277,272,277
280,282,282,283,287
290,294,293,294,293
300,294,304,305,304
310,312,315,316,315
320,325,326,321,325
330,325,337,332,336
340,343,342,343,342
