Time,192.168.1.165,192.168.1.179,192.168.1.200,192.168.1.206
1592505321000,0,,,
1592505326000,0,,,
1592505331000,0,,,
1592505337000,0,,,
1592505342000,9,,,
1592505348000,9,,,
1592505364000,9,,,
1592505370000,9,,,
1592505375000,9,,,
1592505383000,9,,,
1592505389000,9,,,
1592505394000,9,,,
1592505400000,9,,,
1592505406000,9,,,
1592505412000,9,,,
1592505426000,9,,,
1592505432000,9,,,
1592505440000,9,,,
1592505456000,9,,,
1592505462000,9,,,
1592505467000,9,,,
1592505475000,9,,,
1592505480000,9,,,
1592505494000,9,,,
1592505503000,9,,,
1592505509000,9,,,
1592505515000,9,,,
1592505533000,9,,,
1592505538000,9,,,
1592505544000,9,,,
1592505571000,9,,,
1592505577000,9,,,
1592505587000,9,,,
1592505593000,9,,,
1592505599000,9,,,
1592505605000,9,,,
1592505623000,9,,,
1592505630000,9,,,
1592505323000,,0,,
1592505327000,,0,,
1592505332000,,0,,
1592505338000,,0,,
1592505343000,,9,,
1592505348000,,9,,
1592505354000,,9,,
1592505359000,,9,,
1592505365000,,9,,
1592505370000,,9,,
1592505376000,,9,,
1592505381000,,9,,
1592505386000,,9,,
1592505392000,,9,,
1592505397000,,9,,
1592505403000,,9,,
1592505408000,,9,,
1592505414000,,9,,
1592505419000,,9,,
1592505425000,,9,,
1592505430000,,9,,
1592505436000,,9,,
1592505441000,,9,,
1592505446000,,9,,
1592505452000,,9,,
1592505457000,,9,,
1592505463000,,9,,
1592505468000,,9,,
1592505474000,,9,,
1592505479000,,9,,
1592505485000,,9,,
1592505490000,,9,,
1592505496000,,9,,
1592505501000,,9,,
1592505506000,,9,,
1592505512000,,9,,
1592505517000,,9,,
1592505523000,,9,,
1592505528000,,9,,
1592505534000,,9,,
1592505539000,,9,,
1592505545000,,9,,
1592505550000,,9,,
1592505556000,,9,,
1592505561000,,9,,
1592505567000,,9,,
1592505572000,,9,,
1592505578000,,9,,
1592505583000,,9,,
1592505588000,,9,,
1592505594000,,9,,
1592505599000,,9,,
1592505605000,,9,,
1592505610000,,9,,
1592505616000,,9,,
1592505621000,,9,,
1592505626000,,9,,
1592505632000,,9,,
1592505638000,,9,,
1592505643000,,9,,
1592505322000,,,0,
1592505327000,,,0,
1592505334000,,,0,
1592505338000,,,0,
1592505344000,,,9,
1592505349000,,,9,
1592505355000,,,9,
1592505360000,,,9,
1592505366000,,,9,
1592505371000,,,9,
1592505376000,,,9,
1592505382000,,,9,
1592505387000,,,9,
1592505393000,,,9,
1592505400000,,,9,
1592505404000,,,9,
1592505409000,,,9,
1592505415000,,,9,
1592505420000,,,9,
1592505426000,,,9,
1592505431000,,,9,
1592505436000,,,9,
1592505442000,,,9,
1592505448000,,,9,
1592505453000,,,9,
1592505458000,,,9,
1592505464000,,,9,
1592505469000,,,9,
1592505475000,,,9,
1592505480000,,,9,
1592505486000,,,9,
1592505491000,,,9,
1592505497000,,,9,
1592505502000,,,9,
1592505508000,,,9,
1592505513000,,,9,
1592505519000,,,9,
1592505524000,,,9,
1592505530000,,,9,
1592505535000,,,9,
1592505540000,,,9,
1592505546000,,,9,
1592505551000,,,9,
1592505557000,,,9,
1592505562000,,,9,
1592505568000,,,9,
1592505573000,,,9,
1592505579000,,,9,
1592505584000,,,9,
1592505590000,,,9,
1592505595000,,,9,
1592505601000,,,9,
1592505606000,,,9,
1592505612000,,,9,
1592505617000,,,9,
1592505623000,,,9,
1592505628000,,,9,
1592505633000,,,9,
1592505639000,,,9,
1592505322000,,,,0
1592505327000,,,,0
1592505332000,,,,0
1592505337000,,,,0
1592505343000,,,,9
1592505348000,,,,9
1592505354000,,,,9
1592505359000,,,,9
1592505365000,,,,9
1592505370000,,,,9
1592505376000,,,,9
1592505381000,,,,9
1592505386000,,,,9
1592505392000,,,,9
1592505397000,,,,9
1592505403000,,,,9
1592505408000,,,,9
1592505414000,,,,9
1592505419000,,,,9
1592505424000,,,,9
1592505430000,,,,9
1592505435000,,,,9
1592505441000,,,,9
1592505446000,,,,9
1592505452000,,,,9
1592505457000,,,,9
1592505463000,,,,9
1592505468000,,,,9
1592505474000,,,,9
1592505479000,,,,9
1592505484000,,,,9
1592505490000,,,,9
1592505495000,,,,9
1592505501000,,,,9
1592505506000,,,,9
1592505512000,,,,9
1592505517000,,,,9
1592505523000,,,,9
1592505528000,,,,9
1592505533000,,,,9
1592505539000,,,,9
1592505544000,,,,9
1592505550000,,,,9
1592505555000,,,,9
1592505561000,,,,9
1592505566000,,,,9
1592505571000,,,,9
1592505577000,,,,9
1592505582000,,,,9
1592505588000,,,,9
1592505593000,,,,9
1592505599000,,,,9
1592505604000,,,,9
1592505610000,,,,9
1592505615000,,,,9
1592505620000,,,,9
1592505626000,,,,9
1592505631000,,,,9
1592505637000,,,,9
1592505642000,,,,9
