Time,8f96fa542f8b,4b86a2021b77,26f29effeddc,188e2a5d583c
 1592334400934,1,,,
 1592334400938,,1,,
 1592334400982,2,,,
 1592334400990,,,1,
 1592334401063,,2,,
 1592334401073,3,,,
 1592334401119,4,,,
 1592334401201,5,,,
 1592334401215,,3,,
 1592334401226,,4,,
 1592334401255,6,,,
 1592334401285,,,,1
 1592334401325,7,,,
 1592334401376,,5,,
 1592334401382,8,,,
 1592334401438,,,2,
 1592334401454,9,,,
 1592334401482,,6,,
 1592334401512,10,,,
 1592334401581,11,,,
 1592334401599,,,3,
 1592334401611,,7,,
 1592334401632,12,,,
 1592334401693,13,,,
 1592334401729,,8,,
 1592334401729,14,,,
 1592334402001,15,,,
 1592334405914,16,,,
 1592334405922,,9,,
 1592334405962,17,,,
 1592334405993,,,,2
 1592334406009,,,4,
 1592334406031,,,5,
 1592334406050,,10,,
 1592334406058,18,,,
 1592334406085,19,,,
 1592334406099,,,,3
 1592334406153,,,6,
 1592334406155,,11,,
 1592334406198,,12,,
 1592334406198,20,,,
 1592334406225,,13,,
 1592334406259,21,,,
 1592334406270,22,,,
 1592334406306,,,,4
 1592334406328,23,,,
 1592334406329,,,,5
 1592334406387,,,,6
 1592334406432,24,,,
 1592334406446,,14,,
 1592334406478,25,,,
 1592334406504,,,7,
 1592334406536,,15,,
 1592334406547,26,,,
 1592334406582,,,8,
 1592334406612,,,,7
 1592334406639,,16,,
 1592334406651,,,9,
 1592334406652,27,,,
 1592334406661,,17,,
 1592334406662,28,,,
 1592334406725,29,,,
 1592334406732,,,,8
 1592334406751,,18,,
 1592334406751,,,10,
 1592334406756,30,,,
 1592334406809,31,,,
 1592334406809,,19,,
 1592334406862,,20,,
 1592334406936,,21,,
 1592334406962,,,11,
 1592334407020,,,12,
 1592334407076,,,,9
 1592334407079,32,,,
 1592334407124,33,,,
 1592334407180,34,,,
 1592334407252,,22,,
 1592334407322,,,,10
 1592334410925,,23,,
 1592334410939,35,,,
 1592334410940,36,,,
 1592334410994,,,,11
 1592334411002,,,13,
 1592334411051,,24,,
 1592334411058,37,,,
 1592334411082,,,,12
 1592334411085,38,,,
 1592334411092,,,14,
 1592334411149,,,15,
 1592334411156,,25,,
 1592334411195,,26,,
 1592334411242,39,,,
 1592334411242,40,,,
 1592334411256,41,,,
 1592334411286,,27,,
 1592334411315,,,,13
 1592334411329,42,,,
 1592334411372,,,,14
 1592334411421,,28,,
 1592334411432,43,,,
 1592334411446,,,,15
 1592334411484,44,,,
 1592334411526,,,16,
 1592334411553,,,17,
 1592334411579,,29,,
 1592334411579,45,,,
 1592334411588,,30,,
 1592334411614,46,,,
 1592334411640,,,,16
 1592334411656,,,18,
 1592334411666,,31,,
 1592334411688,,32,,
 1592334411692,47,,,
 1592334411699,48,,,
 1592334411729,,,19,
 1592334411740,49,,,
 1592334411800,,,,17
 1592334411802,,33,,
 1592334411816,50,,,
 1592334411886,,,20,
 1592334411899,,34,,
 1592334411957,,35,,
 1592334411962,,,,18
 1592334412009,,,21,
 1592334412078,51,,,
 1592334412152,52,,,
 1592334412194,53,,,
 1592334412226,,36,,
 1592334412297,,,,19
 1592334415914,54,,,
 1592334415923,,37,,
 1592334415962,55,,,
 1592334415978,,,,20
 1592334416009,,,22,
 1592334416032,,,23,
 1592334416051,,38,,
 1592334416060,56,,,
 1592334416082,,,,21
 1592334416086,57,,,
 1592334416149,,,24,
 1592334416156,,39,,
 1592334416198,,40,,
 1592334416239,58,,,
 1592334416239,59,,,
 1592334416255,60,,,
 1592334416285,,41,,
 1592334416311,61,,,
 1592334416325,,42,,
 1592334416332,,,,22
 1592334416354,,,,23
 1592334416411,,,,24
 1592334416459,62,,,
 1592334416482,63,,,
 1592334416518,,,25,
 1592334416550,,43,,
 1592334416567,64,,,
 1592334416575,,44,,
 1592334416596,,,26,
 1592334416636,65,,,
 1592334416649,,45,,
 1592334416649,,,,25
 1592334416662,,,27,
 1592334416666,66,,,
 1592334416724,,46,,
 1592334416729,67,,,
 1592334416736,,,,26
 1592334416759,68,,,
 1592334416772,,,28,
 1592334416786,69,,,
 1592334416803,,47,,
 1592334416905,,48,,
 1592334416948,,49,,
 1592334416973,,,29,
 1592334417049,,,30,
 1592334417070,70,,,
 1592334417119,,,,27
 1592334417128,71,,,
 1592334417205,72,,,
 1592334417262,,50,,
 1592334417325,,,,28
 1592334420913,73,,,
 1592334420925,,51,,
 1592334420939,74,,,
 1592334420973,,,31,
 1592334421016,,,,29
 1592334421032,,,32,
 1592334421035,,,,30
 1592334421059,75,,,
 1592334421059,,52,,
 1592334421096,76,,,
 1592334421165,77,,,
 1592334421169,,,33,
 1592334421179,,53,,
 1592334421224,,,,31
 1592334421242,78,,,
 1592334421251,,54,,
 1592334421281,79,,,
 1592334421308,80,,,
 1592334421322,,55,,
 1592334421363,,,,32
 1592334421371,,,34,
 1592334421376,81,,,
 1592334421413,,56,,
 1592334421435,82,,,
 1592334421436,,,,33
 1592334421512,83,,,
 1592334421526,,,35,
 1592334421559,,57,,
 1592334421559,,58,,
 1592334421561,84,,,
 1592334421570,,,36,
 1592334421587,85,,,
 1592334421608,,59,,
 1592334421620,,,,34
 1592334421665,86,,,
 1592334421702,,,,35
 1592334421742,,,37,
 1592334421744,,60,,
 1592334421794,87,,,
 1592334421832,,61,,
 1592334421833,88,,,
 1592334421902,,,38,
 1592334421903,,62,,
 1592334421994,,,39,
 1592334421996,,63,,
 1592334422024,89,,,
 1592334422054,,,,36
 1592334422114,90,,,
 1592334422173,91,,,
 1592334422259,,64,,
 1592334422326,,,,37
 1592334425924,,65,,
 1592334425932,92,,,
 1592334425939,93,,,
 1592334425996,,,,38
 1592334426006,,,40,
 1592334426047,,,41,
 1592334426051,,66,,
 1592334426057,94,,,
 1592334426088,,,,39
 1592334426106,95,,,
 1592334426156,,67,,
 1592334426166,,,42,
 1592334426183,96,,,
 1592334426197,,68,,
 1592334426256,,69,,
 1592334426266,97,,,
 1592334426267,98,,,
 1592334426281,,,,40
 1592334426309,99,,,
 1592334426346,,70,,
 1592334426356,,,,41
 1592334426368,100,,,
 1592334426396,,,,42
 1592334426397,,,43,
 1592334426452,,71,,
 1592334426489,101,,,
 1592334426526,,72,,
 1592334426535,102,,,
 1592334426544,,,,43
 1592334426562,,,44,
 1592334426565,,73,,
 1592334426606,,,45,
 1592334426626,103,,,
 1592334426679,104,,,
 1592334426682,,,,44
 1592334426685,,74,,
 1592334426690,105,,,
 1592334426744,,75,,
 1592334426749,106,,,
 1592334426796,,,46,
 1592334426806,107,,,
 1592334426841,,,47,
 1592334426879,,76,,
 1592334426912,,,,45
 1592334426952,,77,,
 1592334426979,,,48,
 1592334427079,108,,,
 1592334427115,109,,,
 1592334427174,110,,,
 1592334427199,,78,,
 1592334427264,,,,46
 1592334430936,111,,,
 1592334430938,112,,,
 1592334430949,,79,,
 1592334430998,,,49,
 1592334431039,113,,,
 1592334431039,,,,47
 1592334431051,,80,,
 1592334431055,,,50,
 1592334431076,,,,48
 1592334431077,114,,,
 1592334431126,,81,,
 1592334431159,,,51,
 1592334431166,115,,,
 1592334431199,,82,,
 1592334431249,116,,,
 1592334431249,117,,,
 1592334431293,118,,,
 1592334431295,,83,,
 1592334431327,,84,,
 1592334431342,,,,49
 1592334431349,119,,,
 1592334431357,,,,50
 1592334431399,,,52,
 1592334431414,,,,51
 1592334431472,120,,,
 1592334431476,,85,,
 1592334431513,,86,,
 1592334431520,121,,,
 1592334431554,,,53,
 1592334431578,122,,,
 1592334431579,,,,52
 1592334431632,,,54,
 1592334431639,,87,,
 1592334431656,123,,,
 1592334431663,124,,,
 1592334431679,,88,,
 1592334431704,125,,,
 1592334431746,,,,53
 1592334431776,126,,,
 1592334431780,,,55,
 1592334431782,,89,,
 1592334431857,,90,,
 1592334431862,,,56,
 1592334431916,,,,54
 1592334431946,,91,,
 1592334431980,,,57,
 1592334432049,127,,,
 1592334432122,128,,,
 1592334432165,129,,,
 1592334432215,,92,,
 1592334432302,,,,55
 1592334435912,130,,,
 1592334435925,,93,,
 1592334435959,131,,,
 1592334435993,,,,56
 1592334436005,,,58,
 1592334436033,,,59,
 1592334436051,,94,,
 1592334436057,132,,,
 1592334436082,,,,57
 1592334436084,133,,,
 1592334436152,,,60,
 1592334436156,,95,,
 1592334436196,,96,,
 1592334436196,134,,,
 1592334436254,,97,,
 1592334436259,135,,,
 1592334436269,136,,,
 1592334436306,,,,58
 1592334436327,,,,59
 1592334436327,137,,,
 1592334436327,,98,,
 1592334436386,,,,60
 1592334436432,138,,,
 1592334436462,,99,,
 1592334436479,139,,,
 1592334436507,,,61,
 1592334436546,140,,,
 1592334436551,,100,,
 1592334436551,,,,61
 1592334436586,,,62,
 1592334436610,,101,,
 1592334436629,,,,62
 1592334436649,141,,,
 1592334436650,,,63,
 1592334436659,142,,,
 1592334436699,,102,,
 1592334436722,143,,,
 1592334436755,144,,,
 1592334436762,,,64,
 1592334436766,,103,,
 1592334436805,145,,,
 1592334436869,,104,,
 1592334436875,,,65,
 1592334436939,,105,,
 1592334436946,,,,63
 1592334437012,,,66,
 1592334437063,146,,,
 1592334437136,147,,,
 1592334437179,148,,,
 1592334437219,,106,,
 1592334437277,,,,64
 1592334440912,149,,,
 1592334440923,,107,,
 1592334440959,150,,,
 1592334440965,,,67,
 1592334441012,,,,65
 1592334441038,,,,66
 1592334441039,,,68,
 1592334441039,151,,,
 1592334441082,,108,,
 1592334441096,152,,,
 1592334441138,,,69,
 1592334441155,,109,,
 1592334441185,153,,,
 1592334441221,154,,,
 1592334441246,155,,,
 1592334441262,,110,,
 1592334441277,,,,67
 1592334441279,,111,,
 1592334441322,156,,,
 1592334441334,,,,68
 1592334441372,157,,,
 1592334441405,,112,,
 1592334441409,,,,69
 1592334441422,,,70,
 1592334441430,158,,,
 1592334441511,,,71,
 1592334441519,159,,,
 1592334441526,160,,,
 1592334441533,,113,,
 1592334441541,,114,,
 1592334441598,,115,,
 1592334441601,,,,70
 1592334441612,,,72,
 1592334441643,161,,,
 1592334441679,,,,71
 1592334441684,,,73,
 1592334441689,162,,,
 1592334441752,,116,,
 1592334441756,163,,,
 1592334441809,164,,,
 1592334441856,,117,,
 1592334441882,,118,,
 1592334441907,,,74,
 1592334441968,,,75,
 1592334441989,,119,,
 1592334442034,,,,72
 1592334442095,165,,,
 1592334442141,166,,,
 1592334442200,167,,,
 1592334442274,,120,,
 1592334442335,,,,73
 1592334445924,,121,,
 1592334445935,168,,,
 1592334445939,169,,,
 1592334446006,,,,74
 1592334446012,,,76,
 1592334446040,170,,,
 1592334446054,,,77,
 1592334446082,,122,,
 1592334446096,171,,,
 1592334446097,,,,75
 1592334446107,,123,,
 1592334446170,,,78,
 1592334446170,172,,,
 1592334446209,,124,,
 1592334446220,,125,,
 1592334446252,173,,,
 1592334446252,174,,,
 1592334446292,175,,,
 1592334446309,,,,76
 1592334446342,,,,77
 1592334446369,176,,,
 1592334446372,,,79,
 1592334446399,,,,78
 1592334446432,,126,,
 1592334446476,,127,,
 1592334446477,177,,,
 1592334446518,178,,,
 1592334446525,,,80,
 1592334446562,,,,79
 1592334446605,,,81,
 1592334446614,,128,,
 1592334446622,179,,,
 1592334446631,180,,,
 1592334446649,,129,,
 1592334446696,181,,,
 1592334446717,,,,80
 1592334446752,,130,,
 1592334446758,182,,,
 1592334446777,,131,,
 1592334446777,,,82,
 1592334446816,183,,,
 1592334446852,,132,,
 1592334446899,,,83,
 1592334446925,,133,,
 1592334446955,,,,81
 1592334446973,,,84,
 1592334447032,184,,,
 1592334447073,185,,,
 1592334447130,186,,,
 1592334447177,,134,,
 1592334447262,,,,82
 1592334450924,,135,,
 1592334450936,187,,,
 1592334450942,188,,,
 1592334450991,,,,83
 1592334451009,,,85,
 1592334451052,,136,,
 1592334451061,189,,,
 1592334451080,,,,84
 1592334451092,,,86,
 1592334451112,190,,,
 1592334451154,,,87,
 1592334451159,,137,,
 1592334451188,191,,,
 1592334451197,,138,,
 1592334451254,,139,,
 1592334451265,192,,,
 1592334451269,,,,85
 1592334451271,193,,,
 1592334451315,194,,,
 1592334451342,,140,,
 1592334451342,,,,86
 1592334451383,,,,87
 1592334451383,,,88,
 1592334451389,195,,,
 1592334451449,,141,,
 1592334451472,196,,,
 1592334451522,,142,,
 1592334451534,,,,88
 1592334451535,,,89,
 1592334451542,197,,,
 1592334451563,,143,,
 1592334451576,,,90,
 1592334451622,198,,,
 1592334451655,199,,,
 1592334451674,,,,89
 1592334451681,,144,,
 1592334451709,200,,,
 1592334451723,201,,,
 1592334451762,,,91,
 1592334451769,,145,,
 1592334451780,202,,,
 1592334451803,,,92,
 1592334451855,,146,,
 1592334451861,,,,90
 1592334451935,,147,,
 1592334451941,,,93,
 1592334452062,203,,,
 1592334452120,204,,,
 1592334452177,205,,,
 1592334452185,,148,,
 1592334452252,,,,91
 1592334455939,206,,,
 1592334455939,207,,,
 1592334455945,,149,,
 1592334455995,,,94,
 1592334456035,,,,92
 1592334456039,208,,,
 1592334456049,,150,,
 1592334456052,,,95,
 1592334456071,,,,93
 1592334456115,209,,,
 1592334456115,,151,,
 1592334456155,,,96,
 1592334456164,210,,,
 1592334456209,,152,,
 1592334456248,,153,,
 1592334456252,211,,,
 1592334456252,212,,,
 1592334456292,213,,,
 1592334456312,,,,94
 1592334456317,,154,,
 1592334456347,,,,95
 1592334456356,,,97,
 1592334456369,214,,,
 1592334456405,,,,96
 1592334456462,,155,,
 1592334456476,215,,,
 1592334456498,,156,,
 1592334456518,216,,,
 1592334456519,,,98,
 1592334456570,,,,97
 1592334456579,,157,,
 1592334456607,,,99,
 1592334456626,217,,,
 1592334456634,218,,,
