Time,8f96fa542f8b,4b86a2021b77,26f29effeddc,188e2a5d583c
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,14,8,3,1
60,31,21,11,8
65,50,35,20,18
70,69,49,29,26
75,88,63,39,35
80,107,77,48,45
85,126,91,57,54
90,145,105,65,63
95,164,119,75,71
100,183,133,84,81
105,202,147,93,90
110,221,161,102,99
115,240,175,110,107
120,259,189,120,117
125,278,203,129,125
130,297,217,138,134
135,316,231,146,143
140,335,245,156,153
