Time,188e2a5d583c,26f29effeddc,4b86a2021b77,8f96fa542f8b
0,0.22,0.22,0.22,0.22
5,5.35,5.37,5.35,5.35
10,5.35,10.49,5.35,5.35
15,10.47,10.49,10.48,10.48
20,15.63,15.62,15.6,15.62
25,20.75,20.74,20.73,20.75
30,25.88,25.87,25.85,25.88
35,31.0,31.0,30.98,31.01
40,36.14,38.14,36.1,38.13
45,41.27,43.27,41.23,43.26
50,46.39,48.4,46.36,48.4
55,51.52,53.53,51.48,53.53
60,56.65,58.68,56.61,58.68
65,61.8,63.83,61.76,63.84
70,66.95,68.99,66.92,68.99
75,72.11,74.14,72.07,74.14
80,77.26,79.29,77.22,79.29
85,82.41,84.45,82.37,84.44
90,87.56,89.6,87.53,89.6
95,92.72,94.75,92.68,94.75
100,97.87,99.9,97.84,99.91
105,103.02,105.05,102.98,105.06
110,108.17,110.2,108.13,110.21
115,113.32,115.35,113.28,115.36
120,118.46,120.51,118.43,115.36
125,123.61,120.51,123.57,120.51
130,128.76,125.66,128.72,125.66
135,133.9,130.81,133.86,130.82
140,139.04,135.96,139.01,135.97
