"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627375000,,,,
1591627376000,,,,
1591627377000,,94816,,92736
1591627378000,94944,,95456,
1591627379000,,,,
1591627380000,,,,
1591627381000,,,,
1591627382000,,,,
1591627383000,76224,76576,76096,70688
1591627384000,,,,
1591627385000,,,,
1591627386000,,,,
1591627387000,,,,
1591627388000,83744,84256,84256,74528
1591627389000,,,,
1591627390000,,,,
1591627391000,,,,
1591627392000,,,,
1591627393000,93408,93280,92640,79712
1591627394000,,,,
1591627395000,,,,
1591627396000,,,,
1591627397000,,,,
1591627398000,99744,102176,99616,83488
1591627399000,,,,
1591627400000,,,,
1591627401000,,,,
1591627402000,,,,
1591627403000,108704,109856,108576,86688
1591627404000,,,,
1591627405000,,,,
1591627406000,,,,
1591627407000,,,,
1591627408000,117024,118816,116256,92512
1591627409000,,,,
1591627410000,,,,
1591627411000,,,,
1591627412000,,,,
1591627413000,,124576,,94368
1591627414000,125344,,123936,
1591627415000,,,,
1591627416000,,,,
1591627417000,,,,
1591627418000,,70176,,
1591627419000,70304,,68896,66848
1591627420000,,,,
1591627421000,,,,
1591627422000,,,,
1591627423000,,,,
1591627424000,155136,206336,162336,78016
1591627425000,,,,
1591627426000,,,,
1591627427000,,,,
1591627428000,,,,
1591627429000,146656,242688,178944,90336
1591627430000,,,,
1591627431000,,,,
1591627432000,,,,
1591627433000,,,,
1591627434000,136768,107424,103296,94976
1591627435000,,,,
1591627436000,,,,
1591627437000,,,,
1591627438000,,,,
1591627439000,202944,123872,127616,99744
1591627440000,,,,
1591627441000,,,,
1591627442000,,,,
1591627443000,,,,
1591627444000,165280,104160,,136256
1591627445000,,,100576,
1591627446000,,,,
1591627447000,,,,
1591627448000,,,,
1591627449000,,131200,,151680
1591627450000,178720,,129184,
1591627451000,,,,
1591627452000,,,,
1591627453000,,,,
1591627454000,,,,
1591627455000,102848,125664,95968,89792
1591627456000,,,,
1591627457000,,,,
1591627458000,,,,
1591627459000,,,,
1591627460000,153856,124352,119456,84320
1591627461000,,,,
1591627462000,,,,
1591627463000,,,,
1591627464000,,,,
1591627465000,112032,152544,141280,93184
1591627466000,,,,
1591627467000,,,,
1591627468000,,,,
1591627469000,,,,
1591627470000,112704,115840,108704,101920
1591627471000,,,,
1591627472000,,,,
1591627473000,,,,
1591627474000,,,,
