"Time","481714f496e4","6f2c053265f6","78034b84ad0f","8d2d383ac982"
1592665552000,,,,
1592665552200,,,,
1592665552400,,,,
1592665552600,,,,
1592665552800,,,,
1592665553000,,,,75956048
1592665553200,,,,
1592665553400,,,,
1592665553600,,,,
1592665553800,,,,
1592665554000,75956040.00000001,,75956040.00000001,
1592665554200,,,,
1592665554400,,,,
1592665554600,,,,
1592665554800,,,,
1592665555000,,,,
1592665555200,,,,
1592665555400,,,,
1592665555600,,,,
1592665555800,,,,
1592665556000,,,,
1592665556200,,,,
1592665556400,,,,
1592665556600,,,,
1592665556800,,,,
1592665557000,,,,
1592665557200,,,,
1592665557400,,,,
1592665557600,,,,
1592665557800,,,,
1592665558000,,,,75955912.00000001
1592665558200,,,,
1592665558400,,,,
1592665558600,,,,
1592665558800,,,,
1592665559000,75955908.00000001,,75955908.00000001,
1592665559200,,,,
1592665559400,,,,
1592665559600,,,,
1592665559800,,,,
1592665560000,,,,
1592665560200,,,,
1592665560400,,,,
1592665560600,,,,
1592665560800,,,,
1592665561000,,,,
1592665561200,,,,
1592665561400,,,,
1592665561600,,,,
1592665561800,,,,
1592665562000,,,,
1592665562200,,,,
1592665562400,,,,
1592665562600,,,,
1592665562800,,,,
1592665563000,,,,
1592665563200,,,,
1592665563400,,,,
1592665563600,,,,
1592665563800,,,,
1592665564000,75955412.00000001,75955420.00000001,75955420.00000001,75955420.00000001
1592665564200,,,,
1592665564400,,,,
1592665564600,,,,
1592665564800,,,,
1592665565000,,,,
1592665565200,,,,
1592665565400,,,,
1592665565600,,,,
1592665565800,,,,
1592665566000,,,,
1592665566200,,,,
1592665566400,,,,
1592665566600,,,,
1592665566800,,,,
1592665567000,,,,
1592665567200,,,,
1592665567400,,,,
1592665567600,,,,
1592665567800,,,,
1592665568000,,,,
1592665568200,,,,
1592665568400,,,,
1592665568600,,,,
1592665568800,,,,
1592665569000,75947760,75947760,75947760,75947764.00000001
1592665569200,,,,
1592665569400,,,,
1592665569600,,,,
1592665569800,,,,
1592665570000,,,,
1592665570200,,,,
1592665570400,,,,
1592665570600,,,,
1592665570800,,,,
1592665571000,,,,
1592665571200,,,,
1592665571400,,,,
1592665571600,,,,
1592665571800,,,,
1592665572000,,,,
1592665572200,,,,
1592665572400,,,,
1592665572600,,,,
1592665572800,,,,
1592665573000,,,,
1592665573200,,,,
1592665573400,,,,
1592665573600,,,,
1592665573800,,,,
1592665574000,75947888.00000001,75947892.00000001,75947888.00000001,75947896
1592665574200,,,,
1592665574400,,,,
1592665574600,,,,
1592665574800,,,,
1592665575000,,,,
1592665575200,,,,
1592665575400,,,,
1592665575600,,,,
1592665575800,,,,
1592665576000,,,,
1592665576200,,,,
1592665576400,,,,
1592665576600,,,,
1592665576800,,,,
1592665577000,,,,
1592665577200,,,,
1592665577400,,,,
1592665577600,,,,
1592665577800,,,,
1592665578000,,,,
1592665578200,,,,
1592665578400,,,,
1592665578600,,,,
1592665578800,,,,
1592665579000,,75947780.00000001,75947772,75947784
1592665579200,,,,
1592665579400,,,,
1592665579600,,,,
1592665579800,,,,
1592665580000,75947764.00000001,,,
1592665580200,,,,
1592665580400,,,,
1592665580600,,,,
1592665580800,,,,
1592665581000,,,,
1592665581200,,,,
1592665581400,,,,
1592665581600,,,,
1592665581800,,,,
1592665582000,,,,
1592665582200,,,,
1592665582400,,,,
1592665582600,,,,
1592665582800,,,,
1592665583000,,,,
1592665583200,,,,
1592665583400,,,,
1592665583600,,,,
1592665583800,,,,
1592665584000,,75947736.00000001,75947736.00000001,
1592665584200,,,,
1592665584400,,,,
1592665584600,,,,
1592665584800,,,,
1592665585000,75947736.00000001,,,
1592665585200,,,,
1592665585400,,,,
1592665585600,,,,
1592665585800,,,,
1592665586000,,,,75947776
1592665586200,,,,
1592665586400,,,,
1592665586600,,,,
1592665586800,,,,
1592665587000,,,,
1592665587200,,,,
1592665587400,,,,
1592665587600,,,,
1592665587800,,,,
1592665588000,,,,
1592665588200,,,,
1592665588400,,,,
1592665588600,,,,
1592665588800,,,,
1592665589000,,,,
1592665589200,,,,
1592665589400,,,,
1592665589600,,,,
1592665589800,,,,
1592665590000,75947728.00000001,75947776,75947768.00000001,
1592665590200,,,,
1592665590400,,,,
1592665590600,,,,
1592665590800,,,,
1592665591000,,,,75947712.00000001
1592665591200,,,,
1592665591400,,,,
1592665591600,,,,
1592665591800,,,,
1592665592000,,,,
1592665592200,,,,
1592665592400,,,,
1592665592600,,,,
1592665592800,,,,
1592665593000,,,,
1592665593200,,,,
1592665593400,,,,
1592665593600,,,,
1592665593800,,,,
1592665594000,,,,
1592665594200,,,,
1592665594400,,,,
1592665594600,,,,
1592665594800,,,,
1592665595000,75900740.00000001,75926480.00000001,75918756.00000001,
1592665595200,,,,
1592665595400,,,,
1592665595600,,,,
1592665595800,,,,
1592665596000,,,,75815844.00000001
1592665596200,,,,
1592665596400,,,,
1592665596600,,,,
1592665596800,,,,
1592665597000,,,,
1592665597200,,,,
1592665597400,,,,
1592665597600,,,,
1592665597800,,,,
1592665598000,,,,
1592665598200,,,,
1592665598400,,,,
1592665598600,,,,
1592665598800,,,,
1592665599000,,,,
1592665599200,,,,
1592665599400,,,,
1592665599600,,,,
1592665599800,,,,
1592665600000,75815520.00000001,75815600.00000001,75815560.00000001,
1592665600200,,,,
1592665600400,,,,
1592665600600,,,,
1592665600800,,,,
1592665601000,,,,
1592665601200,,,,
1592665601400,,,,
1592665601600,,,,
1592665601800,,,,
1592665602000,,,,75815516.00000001
1592665602200,,,,
1592665602400,,,,
1592665602600,,,,
1592665602800,,,,
1592665603000,,,,
1592665603200,,,,
1592665603400,,,,
1592665603600,,,,
1592665603800,,,,
1592665604000,,,,
1592665604200,,,,
1592665604400,,,,
1592665604600,,,,
1592665604800,,,,
1592665605000,75815348,75815336,75815336,
1592665605200,,,,
1592665605400,,,,
1592665605600,,,,
1592665605800,,,,
1592665606000,,,,
1592665606200,,,,
1592665606400,,,,
1592665606600,,,,
1592665606800,,,,
1592665607000,,,,75815340.00000001
1592665607200,,,,
1592665607400,,,,
1592665607600,,,,
1592665607800,,,,
1592665608000,,,,
1592665608200,,,,
1592665608400,,,,
1592665608600,,,,
1592665608800,,,,
1592665609000,,,,
1592665609200,,,,
1592665609400,,,,
1592665609600,,,,
1592665609800,,,,
