Time,172.24.0.11,172.24.0.14,172.24.0.13,172.24.0.12
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,13,4,12,7
55,13,4,12,7
60,13,4,12,7
65,13,4,12,7
70,13,4,12,7
75,13,4,12,7
80,13,4,12,7
85,13,4,12,7
90,13,4,12,7
95,13,4,12,7
100,13,4,12,7
105,13,4,14,7
110,15,4,14,7
115,15,0,12,7
120,13,4,12,7
125,13,4,12,7
130,13,4,12,7
135,13,4,12,7
140,13,4,12,7
145,13,4,12,7
150,13,4,12,7
155,13,4,12,7
160,13,4,12,7
165,13,4,12,7
170,13,4,12,7
175,13,4,12,7
180,13,4,12,7
185,13,4,12,7
190,13,4,12,7
195,13,4,12,7
200,13,4,12,7
