Time,481714f496e4,6f2c053265f6,78034b84ad0f,8d2d383ac982
0,0,0,0,0
5,0,0,0,0
10,5,0,5,5
15,10,10,10,10
20,15,15,15,15
25,20,20,20,20
30,25,25,25,25
35,31,30,31,31
40,36,35,36,38
45,41,41,41,43
50,46,0,46,3
55,51,5,51,8
60,56,10,56,13
65,61,15,61,18
70,67,21,66,23
75,72,26,72,28
80,77,31,77,34
85,82,31,82,39
90,87,31,87,39
95,92,31,92,44
100,97,31,97,49
105,103,31,103,54
110,108,31,103,59
115,113,0,110,64
120,118,2,115,2
125,123,7,120,8
130,128,12,125,13
135,128,17,130,18
140,133,22,135,23
145,139,28,141,28
150,144,33,146,33
155,149,38,151,38
160,154,43,156,44
165,159,48,161,49
170,164,53,166,54
175,170,58,171,59
180,175,64,177,64
185,180,69,182,69
190,185,74,187,74
195,190,74,187,74
200,190,74,187,74
