Time,"481714f496e4","6f2c053265f6","78034b84ad0f","8d2d383ac982"
1592665600000,17447,7226,21266,
1592665605000,17447,7226,21266,
1592665610000,17447,7226,21266,
1592665615000,17447,7226,21266,
1592665621000,17447,,,
1592665626000,17447,,21266,
1592665631000,17447,7226,21266,
1592665636000,17447,,21266,
1592665641000,17447,,21266,
1592665646000,17447,,21266,
1592665652000,17447,,,
1592665657000,21199,,,
1592665662000,21199,,,
1592665667000,17447,,,
1592665672000,17447,,,
1592665677000,17447,,,
1592665682000,17447,,,
1592665688000,17447,,,
1592665693000,17447,,,
1592665698000,17447,,,
1592665703000,17447,,,
1592665620000,,7226,21266,
1592665625000,,7226,,
1592665669000,,7226,21266,
1592665674000,,7226,21266,11040
1592665679000,,7226,21266,11040
1592665685000,,7226,,
1592665690000,,7226,,
1592665695000,,7226,,
1592665700000,,7226,21266,
1592665651000,,,21266,
1592665656000,,,24349,
1592665664000,,,24349,
1592665684000,,,21266,11040
1592665689000,,,21266,11040
1592665694000,,,21266,11040
1592665705000,,,21266,
1592665601000,,,,11040
1592665607000,,,,11040
1592665612000,,,,11040
1592665617000,,,,11040
1592665622000,,,,11040
1592665627000,,,,11040
1592665632000,,,,11040
1592665637000,,,,11040
1592665643000,,,,11040
1592665648000,,,,11040
1592665653000,,,,11040
1592665658000,,,,10387
1592665663000,,,,10387
1592665668000,,,,11040
1592665699000,,,,11040
1592665704000,,,,11040
