"Time","id","nodes","nr"
1591627378000,24d3987e9b67,,1
1591627383000,24d3987e9b67,,1
1591627388000,24d3987e9b67,,1
1591627393000,24d3987e9b67,,1
1591627398000,24d3987e9b67,,1
1591627403000,24d3987e9b67,,1
1591627408000,24d3987e9b67,,1
1591627414000,24d3987e9b67,,1
1591627419000,24d3987e9b67,,1
1591627424000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627429000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627434000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627439000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627444000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627450000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627455000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627460000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627465000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627470000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627475000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627481000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627486000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627491000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627496000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627501000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627506000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627512000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627517000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627522000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627527000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627532000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627537000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627542000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627548000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627553000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627558000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627563000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627568000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627573000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627578000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627584000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627589000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627594000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627599000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627604000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627609000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627615000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627620000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627625000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627630000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627635000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627640000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627645000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627651000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627656000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627661000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627666000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627671000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627676000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627682000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627687000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627692000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627697000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627702000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627707000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627712000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627718000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627723000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627728000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627733000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627738000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627743000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627749000,24d3987e9b67,if:52e290e0723538 if:a9ee89ae513c7 and:c3fe0274c0c9a8 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,8
1591627377000,6c0244b574f8,,1
1591627383000,6c0244b574f8,,1
1591627388000,6c0244b574f8,,1
1591627393000,6c0244b574f8,,1
1591627398000,6c0244b574f8,,1
1591627403000,6c0244b574f8,,1
1591627408000,6c0244b574f8,,1
1591627413000,6c0244b574f8,,1
1591627418000,6c0244b574f8,,1
1591627424000,6c0244b574f8,temperature-humidity:4b9bfa5bbbf49c if:7cf56012a6b378 and:226daf2ef578f and:1f5ce8a515f37f temperature-humidity:ecac7567004ca8 if:6297b009b17b1 and:2031f09c7473a8 if:c82646c0fe4c1 if:20b94eebaf4352 and:a8ff1968d50e58 and:1f364b2f22b63d if:553d583281dd78 if:be5cea99e7c16 if:f00e4b465e2bc8 if:bd38b101150fc,15
