"Time","Device","Duration","State"
1592665598000,172.24.0.11,291,1
1592665599000,172.24.0.11,325,1
1592665600000,172.24.0.11,378,1
1592665653000,172.24.0.11,270,1
1592665664000,172.24.0.11,308,1
1592665666000,172.24.0.11,319,1
1592665667000,172.24.0.11,347,1
1592665598000,172.24.0.12,217,0
1592665599000,172.24.0.12,262,1
1592665600000,172.24.0.12,303,1
1592665653000,172.24.0.12,264,1
1592665664000,172.24.0.12,268,1
1592665665000,172.24.0.12,228,0
1592665666000,172.24.0.12,268,1
1592665667000,172.24.0.12,265,1
1592665598000,172.24.0.13,263,1
1592665599000,172.24.0.13,264,1
1592665600000,172.24.0.13,314,1
1592665653000,172.24.0.13,269,1
1592665664000,172.24.0.13,279,1
1592665666000,172.24.0.13,276,1
1592665667000,172.24.0.13,265,1
1592665598000,172.24.0.14,209,0
1592665599000,172.24.0.14,211,0
1592665600000,172.24.0.14,287,1
1592665664000,172.24.0.14,17,0
1592665665000,172.24.0.14,245,0
1592665666000,172.24.0.14,210,0
1592665667000,172.24.0.14,261,1

