"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627375000,,,,
1591627376000,,,,
1591627377000,,232,,238
1591627378000,226,,243,
1591627379000,,,,
1591627380000,,,,
1591627381000,,,,
1591627382000,,5372,,
1591627383000,5355,,5373,5380
1591627384000,,,,
1591627385000,,,,
1591627386000,,,,
1591627387000,,,,
1591627388000,10479,10497,10503,10505
1591627389000,,,,
1591627390000,,,,
1591627391000,,,,
1591627392000,,,,
1591627393000,15610,15624,15630,15638
1591627394000,,,,
1591627395000,,,,
1591627396000,,,,
1591627397000,,,,
1591627398000,20745,20784,20762,20793
1591627399000,,,,
1591627400000,,,,
1591627401000,,,,
1591627402000,,,,
1591627403000,25889,25909,25908,25917
1591627404000,,,,
1591627405000,,,,
1591627406000,,,,
1591627407000,,,,
1591627408000,31018,31040,31039,31043
1591627409000,,,,
1591627410000,,,,
1591627411000,,,,
1591627412000,,,,
1591627413000,,36170,,36168
1591627414000,36155,,36165,
1591627415000,,,,
1591627416000,,,,
1591627417000,,,,
1591627418000,,41302,,41294
1591627419000,41282,,41303,
1591627420000,,,,
1591627421000,,,,
1591627422000,,,,
1591627423000,,,,
1591627424000,982,46432,46462,212
1591627425000,,,,
1591627426000,,,,
1591627427000,,,,
1591627428000,,,,
1591627429000,6134,51594,51628,5037
1591627430000,,,,
1591627431000,,,,
1591627432000,,,,
1591627433000,,,,
1591627434000,11288,56745,56786,10195
1591627435000,,,,
1591627436000,,,,
1591627437000,,,,
1591627438000,,,,
1591627439000,16438,61900,61944,15343
1591627440000,,,,
1591627441000,,,,
1591627442000,,,,
1591627443000,,,,
1591627444000,21584,67051,67093,20491
1591627445000,,,,
1591627446000,,,,
1591627447000,,,,
1591627448000,,,,
1591627449000,,72203,,25641
1591627450000,26745,,72245,
1591627451000,,,,
1591627452000,,,,
1591627453000,,,,
1591627454000,,77351,,
1591627455000,31902,,77393,30791
1591627456000,,,,
1591627457000,,,,
1591627458000,,,,
1591627459000,,,,
1591627460000,37053,82497,82556,35941
1591627461000,,,,
1591627462000,,,,
1591627463000,,,,
1591627464000,,,,
1591627465000,42201,87640,87704,41086
1591627466000,,,,
1591627467000,,,,
1591627468000,,,,
1591627469000,,,,
1591627470000,47348,92785,92851,46231
1591627471000,,,,
1591627472000,,,,
1591627473000,,,,
1591627474000,,,,
1591627475000,52500,97936,97998,51377
