Time,20186a2fcafd,2e9b4f244ffc,a0962f33928e,ef468aff4397
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,0,0,0
60,0,0,0,0
65,0,0,0,0
70,0,0,0,0
75,9,9,9,9
80,9,8,9,10
85,10,7,9,10
90,10,6,10,10
95,10,5,10,11
100,11,4,11,11
105,11,2,11,12
110,12,1,12,12
115,12,0,12,12
120,12,0,12,12
125,12,0,12,12
130,12,0,12,12
135,12,0,12,12
140,12,0,12,12
145,12,0,12,12
150,12,0,12,12
155,12,0,12,12
160,12,0,12,12
165,12,0,12,12
170,12,0,12,12
175,12,0,12,12
180,12,0,12,12
185,12,0,12,12
190,12,0,12,12
195,12,0,12,12
200,12,0,12,12
205,12,0,12,12
210,12,0,12,12
215,12,0,12,12
220,12,0,12,12
225,12,0,12,12
230,12,0,12,12
