"Time","id","nodes","nr"
1591631873000,20186a2fcafd,,1
1591631878000,20186a2fcafd,,1
1591631883000,20186a2fcafd,,1
1591631888000,20186a2fcafd,,1
1591631893000,20186a2fcafd,,1
1591631899000,20186a2fcafd,,1
1591631904000,20186a2fcafd,,1
1591631909000,20186a2fcafd,,1
1591631914000,20186a2fcafd,,1
1591631919000,20186a2fcafd,,1
1591631924000,20186a2fcafd,,1
1591631929000,20186a2fcafd,,1
1591631935000,20186a2fcafd,,1
1591631940000,20186a2fcafd,,1
1591631945000,20186a2fcafd,if:6e37da37ee9d94 if:d3c21bcd1df84 and:7e6fef268a8068 mqttout:ed477b3d6d99f if:fb271de27aa868 if:20fc421cf55596 and:c9426ffd788e18 if:266ecb8e1e7794 and:a8ff1968d50e58,9
1591631950000,20186a2fcafd,if:6e37da37ee9d94 if:d3c21bcd1df84 and:7e6fef268a8068 mqttout:ed477b3d6d99f if:fb271de27aa868 if:20fc421cf55596 and:c9426ffd788e18 if:266ecb8e1e7794 and:a8ff1968d50e58,9
1591631955000,20186a2fcafd,if:6e37da37ee9d94 if:d3c21bcd1df84 and:7e6fef268a8068 mqttout:ed477b3d6d99f if:fb271de27aa868 if:20fc421cf55596 and:c9426ffd788e18 if:266ecb8e1e7794 and:a8ff1968d50e58 if:bd38b101150fc,10
1591631960000,20186a2fcafd,if:6e37da37ee9d94 if:d3c21bcd1df84 and:7e6fef268a8068 mqttout:ed477b3d6d99f if:fb271de27aa868 if:20fc421cf55596 and:c9426ffd788e18 if:266ecb8e1e7794 and:a8ff1968d50e58 if:bd38b101150fc,10
1591631965000,20186a2fcafd,if:6e37da37ee9d94 if:d3c21bcd1df84 and:7e6fef268a8068 mqttout:ed477b3d6d99f if:fb271de27aa868 if:20fc421cf55596 and:c9426ffd788e18 if:266ecb8e1e7794 and:a8ff1968d50e58 if:bd38b101150fc,10
1591631971000,20186a2fcafd,if:6e37da37ee9d94 if:d3c21bcd1df84 and:7e6fef268a8068 mqttout:ed477b3d6d99f if:fb271de27aa868 if:20fc421cf55596 and:c9426ffd788e18 if:266ecb8e1e7794 and:a8ff1968d50e58 if:bd38b101150fc if:553d583281dd78,11
