"Time","Device","Duration","State"
1591631943000,192.168.224.11,395,1
1591631948000,192.168.224.11,281,1
1591631953000,192.168.224.11,269,1
1591631959000,192.168.224.11,319,1
1591631964000,192.168.224.11,283,1
1591631968000,192.168.224.11,280,1
1591631971000,192.168.224.11,294,1
1591631972000,192.168.224.11,322,1
1591631977000,192.168.224.11,306,1
1591631981000,192.168.224.11,287,1
1591631943000,192.168.224.12,380,1
1591631948000,192.168.224.12,269,1
1591631953000,192.168.224.12,259,1
1591631959000,192.168.224.12,291,1
1591631964000,192.168.224.12,275,1
1591631968000,192.168.224.12,290,1
1591631971000,192.168.224.12,303,1
1591631972000,192.168.224.12,281,1
1591631977000,192.168.224.12,261,1
1591631943000,192.168.224.13,349,1
1591631948000,192.168.224.13,265,1
1591631953000,192.168.224.13,262,1
1591631959000,192.168.224.13,321,1
1591631964000,192.168.224.13,277,1
1591631969000,192.168.224.13,318,1
1591631971000,192.168.224.13,297,1
1591631972000,192.168.224.13,289,1
1591631977000,192.168.224.13,283,1
1591631981000,192.168.224.13,264,1
1591631943000,192.168.224.14,369,1
1591631948000,192.168.224.14,276,1
1591631953000,192.168.224.14,291,1
1591631959000,192.168.224.14,319,1
1591631964000,192.168.224.14,298,1
1591631968000,192.168.224.14,308,1
1591631971000,192.168.224.14,302,1
1591631972000,192.168.224.14,299,1
1591631977000,192.168.224.14,291,1
1591631981000,192.168.224.14,262,1

