Time,ef468aff4397,2e9b4f244ffc,a0962f33928e,20186a2fcafd
1591631943000,395,,,
1591631948000,281,,,
1591631953000,269,,,
1591631959000,319,,,
1591631964000,283,,,
1591631968000,280,,,
1591631971000,294,,,
1591631972000,322,,,
1591631977000,306,,,
1591631981000,287,,,
1591631943000,,380,,
1591631948000,,269,,
1591631953000,,259,,
1591631959000,,291,,
1591631964000,,275,,
1591631968000,,290,,
1591631971000,,303,,
1591631972000,,281,,
1591631977000,,261,,
1591631943000,,,349,
1591631948000,,,265,
1591631953000,,,262,
1591631959000,,,321,
1591631964000,,,277,
1591631969000,,,318,
1591631971000,,,297,
1591631972000,,,289,
1591631977000,,,283,
1591631981000,,,264,
1591631943000,,,,369
1591631948000,,,,276
1591631953000,,,,291
1591631959000,,,,319
1591631964000,,,,298
1591631968000,,,,308
1591631971000,,,,302
1591631972000,,,,299
1591631977000,,,,291
1591631981000,,,,262
