Time,52927ab52af2,2cc03f84f448,7decf356f00d,893647222d5c
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,0,0,0
60,0,0,0,0
65,10,9,9,0
70,10,9,9,9
75,10,9,9,9
80,10,9,9,9
85,10,9,9,9
90,10,9,9,9
95,10,9,9,9
100,10,9,9,9
105,10,9,9,9
110,10,9,9,9
115,10,9,9,9
120,10,9,0,9
125,13,0,0,0
130,13,12,12,0
135,13,12,12,0
140,13,12,12,9
145,10,9,9,9
150,10,9,9,9
155,10,9,9,9
160,10,9,9,9
165,10,9,9,9
170,10,9,9,9
175,10,9,9,9
180,10,9,9,9
185,10,9,9,9
190,10,9,9,9
195,10,9,9,9
200,10,9,9,0
205,0,9,0,0
210,0,0,0,0
215,0,9,0,0
220,10,9,9,9
225,10,9,9,9
230,10,9,9,9
235,10,9,9,9
240,10,9,9,9
245,10,9,9,9
250,10,9,9,9
255,10,9,9,9
260,10,9,9,9
265,10,9,9,9
270,10,9,9,9
275,0,0,0,0
280,0,0,0,33
285,0,0,0,33
290,9,9,12,33
295,13,12,12,10
300,13,12,12,10
305,10,9,12,10
310,10,9,9,9
315,10,9,9,9
320,10,9,9,9
325,10,9,9,9
330,10,9,9,9
335,10,9,9,9
340,10,9,9,9
345,10,9,9,9
350,10,9,9,9
355,10,9,9,9
360,10,9,9,9
365,10,9,9,9
370,10,9,9,9
375,10,9,9,9
380,10,9,9,9
385,10,9,9,9
390,10,9,9,9
395,10,9,9,9
400,10,9,9,9
405,10,9,9,9
410,10,9,9,9
415,10,9,9,9
420,10,9,9,9
425,10,9,9,9
430,10,9,9,9
435,10,9,9,9
440,10,9,9,9
445,10,9,9,9
450,10,9,9,9
455,10,9,9,9
460,10,9,9,9
