Time,2cc03f84f448,52927ab52af2,7decf356f00d,893647222d5c
0,0,0,0,0
5,0,0,0,0
10,5,5,5,5
15,10,10,10,10
20,15,15,15,15
25,20,20,20,20
30,25,25,25,25
35,31,31,31,31
40,36,36,36,31
45,41,41,41,38
50,46,46,46,43
55,51,51,51,48
60,56,56,56,53
65,61,61,61,58
70,66,66,66,4
75,72,72,72,9
80,77,77,77,14
85,82,82,82,19
90,87,87,87,24
95,92,92,92,29
100,97,97,92,34
105,102,102,97,40
110,102,102,97,40
115,102,102,97,40
120,102,102,0,40
125,0,10,5,0
130,5,15,10,5
135,10,20,15,10
140,15,25,20,0
145,20,25,25,5
150,25,30,31,10
155,31,36,36,15
160,36,41,41,21
165,41,46,46,26
170,46,51,51,31
175,46,51,51,31
180,46,51,51,31
185,46,51,51,31
190,46,51,51,31
195,46,51,51,31
200,46,51,51,0
205,46,0,0,5
210,10,5,5,10
215,15,10,10,2
220,20,15,15,2
225,25,20,20,7
230,30,25,25,12
235,36,31,31,18
240,41,36,36,23
245,46,41,41,28
250,51,46,46,33
255,51,46,51,38
260,51,46,51,38
265,51,46,51,38
270,51,46,51,38
275,0,0,0,0
280,5,5,5,1
285,10,10,10,7
290,15,15,15,12
295,20,20,20,4
300,25,25,25,9
305,31,31,31,14
310,36,36,31,4
315,41,41,36,9
320,46,46,41,15
325,51,51,46,20
330,56,56,51,25
335,61,61,56,30
340,67,67,61,35
345,67,72,67,40
350,72,77,72,45
355,77,82,77,51
360,82,87,82,56
365,87,92,87,61
370,92,98,92,66
375,98,98,97,71
380,103,103,103,76
385,108,108,108,82
390,113,113,113,87
395,118,118,118,92
400,123,123,123,97
405,128,128,128,97
410,134,134,134,102
415,139,139,139,107
420,144,144,144,112
425,149,149,149,118
430,154,154,154,123
435,159,159,159,128
440,164,164,164,133
445,170,170,170,138
450,175,175,175,143
455,180,180,180,148
460,180,180,180,148
