"Time","2cc03f84f448","52927ab52af2","7decf356f00d","893647222d5c"
1592685270000,14079,15388,,
1592685275000,14079,15388,,
1592685280000,14079,,,
1592685286000,14079,15388,14937,
1592685291000,14079,15388,14937,
1592685296000,14079,15388,14937,
1592685301000,14079,15388,14937,
1592685306000,14079,15388,,
1592685311000,14079,,,
1592685333000,17785,,,
1592685338000,17785,,,
1592685344000,17785,,,12786
1592685349000,14079,,,
1592685354000,14079,,,
1592685359000,14079,,,
1592685364000,14079,,,
1592685369000,14079,,,
1592685374000,14079,,,
1592685420000,14079,,,
1592685426000,14079,,,
1592685431000,14079,,,
1592685436000,14079,,,
1592685441000,14079,,,
1592685446000,14079,,,
1592685451000,14079,,,
1592685456000,14079,,,
1592685495000,14079,,,
1592685500000,17785,,,
1592685505000,17785,,,
1592685510000,14079,15388,,
1592685516000,14079,,,
1592685521000,14079,,,
1592685526000,14079,,,
1592685531000,14079,,,
1592685536000,14079,,,
1592685541000,14079,,,
1592685547000,14079,,,
1592685552000,14079,,,
1592685557000,14079,,,
1592685562000,14079,,,
1592685567000,14079,,,
1592685572000,14079,,,
1592685577000,14079,,,
1592685583000,14079,,,
1592685588000,14079,,,
1592685593000,14079,,,
1592685598000,14079,,,
1592685603000,14079,,,
1592685608000,14079,,,
1592685613000,14079,15388,,
1592685619000,14079,,,
1592685624000,14079,,,
1592685629000,14079,,,
1592685634000,14079,,,
1592685639000,14079,,,
1592685281000,,15388,14937,
1592685331000,,19735,,
1592685336000,,19735,,
1592685341000,,19735,,
1592685346000,,15388,,
1592685352000,,15388,,
1592685357000,,15388,,
1592685362000,,15388,,
1592685367000,,15388,,
1592685372000,,15388,,
1592685423000,,15388,14937,
1592685429000,,15388,,
1592685434000,,15388,,
1592685439000,,15388,,
1592685444000,,15388,,
1592685449000,,15388,,
1592685454000,,15388,,
1592685494000,,15147,,
1592685499000,,19735,,
1592685504000,,19735,,
1592685515000,,15388,,
1592685520000,,15388,,
1592685525000,,15388,,
1592685530000,,15388,,
1592685535000,,15388,,
1592685540000,,15388,,
1592685546000,,15388,,
1592685551000,,15388,,
1592685556000,,15388,,
1592685561000,,15388,,
1592685566000,,15388,,
1592685571000,,15388,,
1592685576000,,15388,,12786
1592685582000,,15388,,
1592685587000,,15388,,
1592685592000,,15388,,
1592685597000,,15388,,
1592685602000,,15388,,
1592685607000,,15388,,
1592685618000,,15388,,
1592685623000,,15388,,
1592685628000,,15388,,
1592685633000,,15388,,
1592685638000,,15388,,
1592685271000,,,14937,
1592685276000,,,14937,
1592685307000,,,14937,
1592685332000,,,18626,
1592685337000,,,18626,
1592685342000,,,18626,
1592685347000,,,14937,
1592685353000,,,14937,
1592685358000,,,14937,
1592685363000,,,14937,
1592685368000,,,14937,
1592685373000,,,14937,
1592685428000,,,14937,
1592685433000,,,14937,
1592685438000,,,14937,
1592685443000,,,14937,
1592685448000,,,14937,
1592685453000,,,14937,
1592685459000,,,14937,
1592685496000,,,18626,
1592685501000,,,18626,
1592685506000,,,18626,
1592685511000,,,14937,
1592685517000,,,14937,
1592685522000,,,14937,
1592685527000,,,14937,
1592685532000,,,14937,
1592685537000,,,14937,
1592685542000,,,14937,
1592685548000,,,14937,
1592685553000,,,14937,
1592685558000,,,14937,
1592685563000,,,14937,
1592685568000,,,14937,
1592685573000,,,14937,
1592685578000,,,14937,
1592685584000,,,14937,
1592685589000,,,14937,
1592685594000,,,14937,
1592685599000,,,14937,
1592685604000,,,14937,
1592685609000,,,14937,
1592685614000,,,14937,
1592685620000,,,14937,
1592685625000,,,14937,
1592685630000,,,14937,
1592685635000,,,14937,
1592685640000,,,14937,
1592685273000,,,,12786
1592685278000,,,,12786
1592685283000,,,,12786
1592685288000,,,,12786
1592685293000,,,,12786
1592685298000,,,,12786
1592685304000,,,,12786
1592685309000,,,,12786
1592685350000,,,,12786
1592685355000,,,,12786
1592685360000,,,,12786
1592685365000,,,,12786
1592685370000,,,,12786
1592685375000,,,,12786
1592685422000,,,,12786
1592685427000,,,,12786
1592685432000,,,,12786
1592685437000,,,,12786
1592685442000,,,,12786
1592685447000,,,,12786
1592685452000,,,,12786
1592685458000,,,,12786
1592685483000,,,,47418
1592685488000,,,,47418
1592685493000,,,,47418
1592685498000,,,,13027
1592685503000,,,,13027
1592685509000,,,,13027
1592685514000,,,,12786
1592685519000,,,,12786
1592685524000,,,,12786
1592685529000,,,,12786
1592685534000,,,,12786
1592685539000,,,,12786
1592685545000,,,,12786
1592685550000,,,,12786
1592685555000,,,,12786
1592685560000,,,,12786
1592685565000,,,,12786
1592685570000,,,,12786
1592685581000,,,,12786
1592685586000,,,,12786
1592685591000,,,,12786
1592685596000,,,,12786
1592685601000,,,,12786
1592685606000,,,,12786
1592685612000,,,,12786
1592685617000,,,,12786
1592685622000,,,,12786
1592685627000,,,,12786
1592685632000,,,,12786
1592685637000,,,,12786

