"Time","id","nodes","nr"
1591870421000,7148523d94bd,,1
1591870427000,7148523d94bd,,1
1591870432000,7148523d94bd,,1
1591870437000,7148523d94bd,,1
1591870442000,7148523d94bd,,1
1591870447000,7148523d94bd,,1
1591870452000,7148523d94bd,,1
1591870457000,7148523d94bd,,1
1591870463000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870468000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870473000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870478000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870483000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870488000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870494000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870499000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870504000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870509000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870514000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870519000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870524000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870530000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870535000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870540000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
1591870545000,7148523d94bd,if:576935805f7584 and:e8dcc2822ebae8 mqttout:ec4a106bbf5bc mqttout:ff53fef5f0f4b if:31a22b3ff8a66c and:a06f6739cc62e if:d6ae81eabe2bd if:8396194c47fcb8 and:698761761c7af,9
