Time,52927ab52af2,2cc03f84f448,7decf356f00d,893647222d5c
1592685209000,0,,,
1592685214000,0,,,
1592685219000,0,,,
1592685224000,0,,,
1592685229000,0,,,
1592685234000,0,,,
1592685240000,0,,,
1592685245000,0,,,
1592685250000,0,,,
1592685255000,0,,,
1592685260000,0,,,
1592685265000,0,,,
1592685270000,10,,,
1592685275000,10,,,
1592685281000,10,,,
1592685286000,10,,,
1592685291000,10,,,
1592685296000,10,,,
1592685301000,10,,,
1592685306000,10,,,
1592685331000,13,,,
1592685336000,13,,,
1592685341000,13,,,
1592685347000,10,,,
1592685352000,10,,,
1592685357000,10,,,
1592685362000,10,,,
1592685367000,10,,,
1592685372000,10,,,
1592685408000,0,,,
1592685413000,0,,,
1592685418000,0,,,
1592685424000,10,,,
1592685429000,10,,,
1592685434000,10,,,
1592685439000,10,,,
1592685444000,10,,,
1592685449000,10,,,
1592685454000,10,,,
1592685479000,0,,,
1592685484000,0,,,
1592685489000,0,,,
1592685494000,9,,,
1592685499000,13,,,
1592685504000,13,,,
1592685510000,10,,,
1592685515000,10,,,
1592685520000,10,,,
1592685525000,10,,,
1592685530000,10,,,
1592685535000,10,,,
1592685541000,10,,,
1592685546000,10,,,
1592685551000,10,,,
1592685556000,10,,,
1592685561000,10,,,
1592685566000,10,,,
1592685571000,10,,,
1592685577000,10,,,
1592685582000,10,,,
1592685587000,10,,,
1592685592000,10,,,
1592685597000,10,,,
1592685602000,10,,,
1592685607000,10,,,
1592685613000,10,,,
1592685618000,10,,,
1592685623000,10,,,
1592685628000,10,,,
1592685633000,10,,,
1592685638000,10,,,
1592685644000,10,,,
1592685649000,10,,,
1592685654000,10,,,
1592685209000,,0,,
1592685214000,,0,,
1592685219000,,0,,
1592685224000,,0,,
1592685229000,,0,,
1592685234000,,0,,
1592685239000,,0,,
1592685245000,,0,,
1592685250000,,0,,
1592685255000,,0,,
1592685260000,,0,,
1592685265000,,0,,
1592685270000,,9,,
1592685275000,,9,,
1592685281000,,9,,
1592685286000,,9,,
1592685291000,,9,,
1592685296000,,9,,
1592685301000,,9,,
1592685306000,,9,,
1592685328000,,0,,
1592685333000,,12,,
1592685338000,,12,,
1592685344000,,12,,
1592685349000,,9,,
1592685354000,,9,,
1592685359000,,9,,
1592685364000,,9,,
1592685369000,,9,,
1592685374000,,9,,
1592685415000,,0,,
1592685421000,,9,,
1592685426000,,9,,
1592685431000,,9,,
1592685436000,,9,,
1592685441000,,9,,
1592685446000,,9,,
1592685451000,,9,,
1592685457000,,9,,
1592685480000,,0,,
1592685485000,,0,,
1592685490000,,0,,
1592685495000,,9,,
1592685500000,,12,,
1592685505000,,12,,
1592685511000,,9,,
1592685516000,,9,,
1592685521000,,9,,
1592685526000,,9,,
1592685531000,,9,,
1592685536000,,9,,
1592685541000,,9,,
1592685547000,,9,,
1592685552000,,9,,
1592685557000,,9,,
1592685562000,,9,,
1592685567000,,9,,
1592685572000,,9,,
1592685577000,,9,,
1592685583000,,9,,
1592685588000,,9,,
1592685593000,,9,,
1592685598000,,9,,
1592685603000,,9,,
1592685608000,,9,,
1592685614000,,9,,
1592685619000,,9,,
1592685624000,,9,,
1592685629000,,9,,
1592685634000,,9,,
1592685639000,,9,,
1592685644000,,9,,
1592685650000,,9,,
1592685655000,,9,,
1592685209000,,,0,
1592685214000,,,0,
1592685219000,,,0,
1592685224000,,,0,
1592685230000,,,0,
1592685235000,,,0,
1592685240000,,,0,
1592685245000,,,0,
1592685250000,,,0,
1592685255000,,,0,
1592685260000,,,0,
1592685265000,,,0,
1592685271000,,,9,
1592685276000,,,9,
1592685281000,,,9,
1592685286000,,,9,
1592685291000,,,9,
1592685296000,,,9,
1592685302000,,,9,
1592685307000,,,9,
1592685322000,,,0,
1592685327000,,,0,
1592685332000,,,12,
1592685337000,,,12,
1592685342000,,,12,
1592685348000,,,9,
1592685353000,,,9,
1592685358000,,,9,
1592685363000,,,9,
1592685368000,,,9,
1592685373000,,,9,
1592685407000,,,0,
1592685412000,,,0,
1592685417000,,,0,
1592685423000,,,9,
1592685428000,,,9,
1592685433000,,,9,
1592685438000,,,9,
1592685443000,,,9,
1592685448000,,,9,
1592685453000,,,9,
1592685459000,,,9,
1592685481000,,,0,
1592685486000,,,0,
1592685491000,,,0,
1592685496000,,,12,
1592685501000,,,12,
1592685506000,,,12,
1592685512000,,,9,
1592685517000,,,9,
1592685522000,,,9,
1592685527000,,,9,
1592685532000,,,9,
1592685537000,,,9,
1592685542000,,,9,
1592685548000,,,9,
1592685553000,,,9,
1592685558000,,,9,
1592685563000,,,9,
1592685568000,,,9,
1592685573000,,,9,
1592685578000,,,9,
1592685584000,,,9,
1592685589000,,,9,
1592685594000,,,9,
1592685599000,,,9,
1592685604000,,,9,
1592685609000,,,9,
1592685615000,,,9,
1592685620000,,,9,
1592685625000,,,9,
1592685630000,,,9,
1592685635000,,,9,
1592685640000,,,9,
1592685645000,,,9,
1592685651000,,,9,
1592685656000,,,9,
1592685209000,,,,0
1592685214000,,,,0
1592685219000,,,,0
1592685224000,,,,0
1592685230000,,,,0
1592685235000,,,,0
1592685242000,,,,0
1592685247000,,,,0
1592685252000,,,,0
1592685257000,,,,0
1592685262000,,,,0
1592685268000,,,,0
1592685273000,,,,9
1592685278000,,,,9
1592685283000,,,,9
1592685288000,,,,9
1592685293000,,,,9
1592685298000,,,,9
1592685304000,,,,9
1592685309000,,,,9
1592685329000,,,,0
1592685334000,,,,0
1592685339000,,,,0
1592685345000,,,,9
1592685350000,,,,9
1592685355000,,,,9
1592685360000,,,,9
1592685365000,,,,9
1592685370000,,,,9
1592685375000,,,,9
1592685406000,,,,0
1592685411000,,,,0
1592685416000,,,,0
1592685422000,,,,9
1592685427000,,,,9
1592685432000,,,,9
1592685437000,,,,9
1592685442000,,,,9
1592685447000,,,,9
1592685452000,,,,9
1592685458000,,,,9
1592685478000,,,,0
1592685483000,,,,33
1592685488000,,,,33
1592685493000,,,,33
1592685498000,,,,10
1592685504000,,,,10
1592685509000,,,,10
1592685514000,,,,9
1592685519000,,,,9
1592685524000,,,,9
1592685529000,,,,9
1592685534000,,,,9
1592685540000,,,,9
1592685545000,,,,9
1592685550000,,,,9
1592685555000,,,,9
1592685560000,,,,9
1592685565000,,,,9
1592685570000,,,,9
1592685576000,,,,9
1592685581000,,,,9
1592685586000,,,,9
1592685591000,,,,9
1592685596000,,,,9
1592685601000,,,,9
1592685607000,,,,9
1592685612000,,,,9
1592685617000,,,,9
1592685622000,,,,9
1592685627000,,,,9
1592685632000,,,,9
1592685637000,,,,9
1592685643000,,,,9
1592685648000,,,,9
1592685653000,,,,9
