"Time","Device","Duration","State"
1592685269000,192.165.0.70,284,1
1592685329000,192.165.0.70,272,1
1592685330000,192.165.0.70,325,1
1592685344000,192.165.0.70,286,1
1592685408000,192.165.0.70,14,0
1592685419000,192.165.0.70,291,1
1592685479000,192.165.0.70,10,0
1592685494000,192.165.0.70,303,1
1592685496000,192.165.0.70,283,1
1592685509000,192.165.0.70,288,1
1592685269000,192.165.0.71,316,1
1592685328000,192.165.0.71,27,0
1592685329000,192.165.0.71,266,1
1592685344000,192.165.0.71,274,1
1592685405000,192.165.0.71,6,0
1592685419000,192.165.0.71,281,1
1592685480000,192.165.0.71,10,0
1592685494000,192.165.0.71,288,1
1592685496000,192.165.0.71,276,1
1592685509000,192.165.0.71,315,1
1592685269000,192.165.0.72,275,1
1592685329000,192.165.0.72,286,1
1592685330000,192.165.0.72,303,1
1592685344000,192.165.0.72,276,1
1592685407000,192.165.0.72,6,0
1592685419000,192.165.0.72,292,1
1592685481000,192.165.0.72,14,0
1592685494000,192.165.0.72,297,1
1592685496000,192.165.0.72,284,1
1592685509000,192.165.0.72,276,1
1592685269000,192.165.0.73,272,1
1592685329000,192.165.0.73,12,0
1592685344000,192.165.0.73,265,1
1592685406000,192.165.0.73,8,0
1592685419000,192.165.0.73,271,1
1592685478000,192.165.0.73,11,0
1592685481000,192.165.0.73,285,1
1592685494000,192.165.0.73,277,1
1592685496000,192.165.0.73,15003,0
1592685509000,192.165.0.73,266,1

