Time,52927ab52af2,2cc03f84f448,7decf356f00d,893647222d5c
1592685269000,284,,,
1592685329000,272,,,
1592685330000,325,,,
1592685344000,286,,,
1592685408000,14,,,
1592685419000,291,,,
1592685479000,10,,,
1592685494000,303,,,
1592685496000,283,,,
1592685509000,288,,,
1592685269000,,316,,
1592685328000,,27,,
1592685329000,,266,,
1592685344000,,274,,
1592685405000,,6,,
1592685419000,,281,,
1592685480000,,10,,
1592685494000,,288,,
1592685496000,,276,,
1592685509000,,315,,
1592685269000,,,275,
1592685329000,,,286,
1592685330000,,,303,
1592685344000,,,276,
1592685407000,,,6,
1592685419000,,,292,
1592685481000,,,14,
1592685494000,,,297,
1592685496000,,,284,
1592685509000,,,276,
1592685269000,,,,272
1592685329000,,,,12
1592685344000,,,,265
1592685406000,,,,8
1592685419000,,,,271
1592685478000,,,,11
1592685481000,,,,285
1592685494000,,,,277
1592685496000,,,,15003
1592685509000,,,,266
