"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770924500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770925500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770926500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770927000,,,,,,,,,,,,,,,,,,98368,,,,,,,,,,,,,,98368,,97728,,,,,,,,,,,,,,,,
1592770927500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770928000,,95712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97728,,
1592770928500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770929000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770929500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770930500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770931000,,,,,,,,,98368,,,,,,,,,,,,,,,,,,97728,,,,,,,,,,,,,,98368,,,,98368,,,,,
1592770931500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770932000,,,,,,,98368,,,,98368,,,,,98368,97728,,,,,,,,,,,,,,,81152,,79872,,,,97728,,,,,,,,,,,,
1592770932500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770933000,98368,76448,,,,,,,,,,,,,,,,81152,97728,,,,98368,,,98368,,,98368,,98368,,,,97728,98368,,,98368,,,,,,,,,,,
1592770933500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770934000,,,97728,98368,98368,,,,,97728,,98368,97728,97728,98368,,,,,98368,97728,97728,,,97728,,,97728,,98368,,,97728,,,,98368,,,,,98368,97728,97728,,,98368,79872,97728,97728
1592770934500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770935500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770936000,,,,,,,,,79648,,,,,,,,,,,,,,,,,,79872,,,,,,,,,,,,,,81312,,,,79872,,,,,
1592770936500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770937000,,,,,,,80096,,,,,,,,,78592,78592,,,,,,,,,,,,,,,90336,,,,,,77536,,,,,,,,,,,,
1592770937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770938000,79456,,,,,,,,,,79872,,,,,,,90112,79232,,,,,,,79232,,,77952,,79232,,,88608,78592,78592,,,79648,,,,,,,,,,,
1592770938500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770939000,,81152,78592,79456,80096,,,,,79872,,78752,78592,79232,78592,,,,,78816,78752,79456,79872,,78592,,,79456,,79392,,,79872,,,,79872,,,,,78752,79232,79168,,,79872,88128,78592,79872
1592770939500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770940500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770941000,,,,,,,,,88608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369504,87328,,,,86272,,,,,
1592770941500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770942000,,,,,,,86688,370144,,,,,,,,,86848,,,,,,,,,,86272,,,,,97856,,,,,,86048,,,,,,,,,,,,
1592770942500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770943000,87328,,,,,,,,,,87328,,,,,86048,,99136,86688,,,,,,,,,,87328,,88608,,,96352,86688,87328,,,87328,,,,,,,,,,,
