"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770924500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770925500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770926500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770927000,,,,,,,,,,,,,,,,,,37870356,,,,,,,,,,,,,,37870504,,37870356,,,,,,,,,,,,,,,,
1592770927500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770928000,,37870080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770928500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770929000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37869992,,
1592770929500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770930500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770931000,,,,,,,,,37869676.00000001,,,,,,,,,,,,,,,,,,37869660,,,,,,,,,,,,,,37869676.00000001,,,,37869660,,,,,
1592770931500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770932000,,,,,,,37869596,,,,,,,,,37869572.00000001,37869576,,,,,,,,,,,,,,,37869608.00000001,,,,,,37869584.00000001,,,,,,,,,,,,
1592770932500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770933000,37869564.00000001,,,,,,,,,,37869564.00000001,,,,,,,37869564.00000001,37869556.00000001,,,,,,,37869500,,,37869520,,37869544.00000001,,,37869564.00000001,37869564.00000001,37869564.00000001,,,37869540,,,,,,,,,,,
1592770933500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770934000,,37869492,37869396,37869456,37869408.00000001,,,,,37869400,,37869400,37869408.00000001,37869400,37869424,,,,,37869464,37869400,37869408.00000001,37869492,,37869400,,,37869408.00000001,,37869412.00000001,,,37869380,,,,37869416,,,,,37869408.00000001,37869480.00000001,37869480.00000001,,,37869408.00000001,37869448.00000001,37869468.00000001,37869400
1592770934500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770935500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770936000,,,,,,,,,37869232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37869232,,,,37869224,,,,,
1592770936500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770937000,,,,,,,37869204.00000001,,,,,,,,,37869200,37869200,,,,,,,,,,37869220,,,,,37869212.00000001,,,,,,37869204.00000001,,,,,,,,,,,,
1592770937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770938000,37869188,,,,,,,,,,37869196,,,,,,,37869196,37869188,,,,,,,,,,37869176.00000001,,37869176.00000001,,,37869196,37869196,37869196,,,37869176.00000001,,,,,,,,,,,
1592770938500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770939000,,37869172.00000001,37869128.00000001,37869160,37869152.00000001,,,,,37869132,,37869132,37869148,37869132,37869156,,,,,37869160,37869136.00000001,37869148,37869168,,37869132,37869172.00000001,,37869152.00000001,,37869152.00000001,,,37869124,,,,37869152.00000001,,,,,37869148,37869168,37869168,,,37869148,37869156,37869160,37869136.00000001
1592770939500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770940500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770941000,,,,,,,,,37869024.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37869024.00000001,37869020,,,,37869016,,,,,
