"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770924500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770925500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770926500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770927000,,,,,,,,,,,,,,,,,,1978528,,,,,,,,,,,,,,1978528,,1979168,,,,,,,,,,,,,,,,
1592770927500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770928000,,1980544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979168,,
1592770928500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770929000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770929500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770930500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770931000,,,,,,,,,1979168,,,,,,,,,,,,,,,,,,1979168,,,,,,,,,,,,,,1978528,,,,1978528,,,,,
1592770931500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770932000,,,,,,,1978528,,,,1979168,,,,,1979168,1979168,1995744,,,,,,,,,,,,,,1995744,,1997024,,,,1979168,,,,,,,,,,,,
1592770932500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770933000,1978528,1999808,,,,,,,,,,,,,,,,,1979168,,,,1978528,,,1979168,,,1978528,,1979168,,,,1979168,1978528,,,1979168,,,,1979168,1979168,,,,,,
1592770933500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770934000,,,1979168,1978528,1979168,,,,,1979168,,1979168,1979168,1979168,1979168,,,,,1978528,1979168,1979168,,,1979168,,,1979168,,1978528,,,1979168,,,,1978528,,,,,1978528,,,,,1978528,1997024,1979168,1979168
1592770934500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770935500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770936000,,,,,,,,,1997248,,,,,,,,,,,,,,,,,,1997024,,,,,,,,,,,,,,1995584,,,,1997024,,,,,
1592770936500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770937000,,,,,,,1996800,,,,1997024,,,,,1998304,1998304,1986784,,,,,,,,,,,,,,1986560,,1988288,,,,1999360,,,,,,,,,,,,
1592770937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770938000,1997440,1995104,,,,,,,,,,,,,,,,,1998304,,,,,,,1997664,,,1998944,,1997664,,,,1998304,1998304,,,1997248,,,,,,,,,,,
1592770938500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770939000,,,1998304,1997440,1996800,,,,,1997024,,1998144,1998304,1998304,1998304,,,,,1998080,1998144,1997440,1997024,,1998304,,,1997440,,1997504,,,1997024,,,,1997024,,,,,1998144,1997664,1997728,,,1997024,1988768,1998304,1997024
1592770939500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770940500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770941000,,,,,,,,,1988288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707392,1989568,,,,1990624,,,,,
1592770941500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770942000,,,,,,,1990848,1706752,,,,,,,,1990848,1990688,,,,,,,,,,1990624,,,,,1979040,,,,,,1990848,,,,,,,,,,,,
