"Time","last_payload {id: 03cfac713ddb}","last_payload {id: 05d4edb11ccc}","last_payload {id: 05e2dc4bab48}","last_payload {id: 12fe0edb1a22}","last_payload {id: 142e2512faa4}","last_payload {id: 15a356ee90d0}","last_payload {id: 163e8d73fac5}","last_payload {id: 166622bd256d}","last_payload {id: 187ae6236163}","last_payload {id: 1979919fbf0f}","last_payload {id: 2031a9936382}","last_payload {id: 22e7a6017802}","last_payload {id: 28044ba4a7ad}","last_payload {id: 30b396f84a51}","last_payload {id: 313b8f5d58f6}","last_payload {id: 3bfa9412b3ac}","last_payload {id: 3d1d30a896da}","last_payload {id: 3f2ea48c60e7}","last_payload {id: 44f61de09fce}","last_payload {id: 452cf0ed41fe}","last_payload {id: 45e6d34f3c90}","last_payload {id: 4da229ff9647}","last_payload {id: 50242d33e417}","last_payload {id: 507aa07cb3f4}","last_payload {id: 534f7ede4add}","last_payload {id: 6024efb8fa75}","last_payload {id: 64028b5fe4a9}","last_payload {id: 6fd3deb2ffa9}","last_payload {id: 750c1c44fa91}","last_payload {id: 79f51af621c3}","last_payload {id: 7e1362b171c6}","last_payload {id: 7e650620618f}","last_payload {id: a54271c49348}","last_payload {id: ac0c887de21e}","last_payload {id: ad93e254a539}","last_payload {id: b049c32b2cc4}","last_payload {id: b1d55b931020}","last_payload {id: b63b699c8207}","last_payload {id: bec16363de34}","last_payload {id: c0dfc0337d50}","last_payload {id: cb8816b39dc5}","last_payload {id: cbacbdd4ead4}","last_payload {id: d665d2bb7bd6}","last_payload {id: dd3871aa1c44}","last_payload {id: e25b10447cf0}","last_payload {id: e623c5f5dc60}","last_payload {id: e6f7c1e58817}","last_payload {id: e8ca08072d74}","last_payload {id: f86b4d7f6332}","last_payload {id: fb4d19ff5398}"
1592770984000,2312,,,,,,,,,,3213,,,,,1704,,2292,,,,,,,,,,,2851,,2295,,,,2312,2309,,,,,,,,,,,,,,
1592770989000,2312,,,,,,,,,,3213,,,,,1704,,2292,,,,,,,,,,,,,2295,,,,2312,2309,,1697,,,,,,,,,,,,
1592770994000,2312,,,,,,,,,,3213,,,,,1704,,2292,,,,,,,,,,,,,,,,,2312,2309,,1697,,,,,,,,,,,,
1592770999000,2312,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,,,,,,,,,2312,2309,,1697,,,,,,,,,,,,
1592771006000,2312,,,,2851,2847,1696,,,,,,,,2293,,2853,2292,,,,,,,,,,,,2851,,,,2305,,,2295,,,,,,,,,,,,,
1592771012000,2312,,,,,2847,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,
1592771017000,2312,,,,,2847,,,,,,,,,,,,2292,2309,,,,,,,,,,,,,,,2305,,,,,2309,,,,,,,,,,,
1592771022000,2312,,,,,2847,,,,,,,,,,,2853,2292,2309,,,,,,,,,,,,,,,2305,,,,,2309,,,,,,,,,,,
1592771027000,2312,,,,,2847,1696,,,,,,,,,,2853,2292,2309,,,,,,,,,,,,,,,2305,,,,,,,,,,,,,,,,
1592771032000,2312,,,,2851,2847,1696,,,,,,,,,,2853,2292,2309,,,,,,,,,,,2851,,,,2305,,,,,,,,,,,,,,,,
1592771037000,2312,,,,2851,2847,1696,,,,,,,,2293,,2853,2292,2309,,,,,,,,,,,2851,,,,2305,,,2295,,,,,,,,,,,2305,,
1592771042000,2312,,,2309,2851,,1696,,,,,,,,2293,,2853,2292,,,,,,,,,,,,,,,,2305,,,2295,,,,,,,,,,,2305,,
