"Time","id","nodes","nr"
1592770927000,172.20.0.11,,0
1592770933000,172.20.0.11,,0
1592770938000,172.20.0.11,,0
1592770943000,172.20.0.11,,0
1592770948000,172.20.0.11,,0
1592770953000,172.20.0.11,,0
1592770958000,172.20.0.11,,0
1592770963000,172.20.0.11,,0
1592770968000,172.20.0.11,,0
1592770973000,172.20.0.11,,0
1592770979000,172.20.0.11,,0
1592770984000,172.20.0.11,if:e4bef71e86d14,1
1592770989000,172.20.0.11,if:e4bef71e86d14,1
1592770996000,172.20.0.11,if:e4bef71e86d14,1
1592771001000,172.20.0.11,if:e4bef71e86d14,1
1592771006000,172.20.0.11,if:e4bef71e86d14,1
1592771012000,172.20.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 temperature-humidity:1bc9ec6d9799a4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592771017000,172.20.0.11,if:e4bef71e86d14,1
1592771022000,172.20.0.11,if:e4bef71e86d14,1
1592771027000,172.20.0.11,if:e4bef71e86d14,1
1592771032000,172.20.0.11,if:e4bef71e86d14,1
1592771037000,172.20.0.11,if:e4bef71e86d14,1
1592771042000,172.20.0.11,if:e4bef71e86d14,1
1592771048000,172.20.0.11,if:e4bef71e86d14,1
1592771053000,172.20.0.11,if:e4bef71e86d14,1
1592771058000,172.20.0.11,if:e4bef71e86d14,1
1592771063000,172.20.0.11,if:e4bef71e86d14,1
1592771068000,172.20.0.11,if:e4bef71e86d14,1
1592771073000,172.20.0.11,if:e4bef71e86d14,1
1592771078000,172.20.0.11,if:e4bef71e86d14,1
1592771084000,172.20.0.11,if:e4bef71e86d14,1
1592771089000,172.20.0.11,if:e4bef71e86d14,1
1592771094000,172.20.0.11,if:e4bef71e86d14,1
1592771099000,172.20.0.11,if:e4bef71e86d14,1
1592771108000,172.20.0.11,if:e4bef71e86d14,1
1592771110000,172.20.0.11,if:e4bef71e86d14,1
1592771116000,172.20.0.11,if:e4bef71e86d14,1
1592771124000,172.20.0.11,if:e4bef71e86d14 and:7d19eda1e47054 mqttout:4a0b480453aa08 if:6304e2c4bb4f0c if:dc05b19b0e5ae,5
1592771128000,172.20.0.11,if:e4bef71e86d14 if:8d0f6b7cc52f18 mqttout:7c9b556febe29c temperature-humidity:1bc9ec6d9799a4 if:7c47d87bac4d7 temperature-humidity:6dd53e6f9a0a2 if:d72e652c2c4d4,7
1592771130000,172.20.0.11,temperature-humidity:e4515a1d530a9 if:595a4998fa103 if:8d0f6b7cc52f18 and:8c00d399cfdc1 and:4da9751a0ddf6c mqttout:4a0b480453aa08 if:2911d9d2a3770e if:7c47d87bac4d7 and:a0aacb25d54e48 if:73f641b5838de if:7d8474b7480aa4 and:4584aee1c925e8,12
