"Time","Device","Duration","State"
1592770981000,172.20.0.11,303,1
1592771007000,172.20.0.11,269,1
1592771012000,172.20.0.11,289,1
1592771095000,172.20.0.11,277,1
1592771096000,172.20.0.11,287,1
1592771117000,172.20.0.11,313,1
1592771118000,172.20.0.11,337,1
1592771119000,172.20.0.11,360,1
1592771120000,172.20.0.11,315,0
1592771121000,172.20.0.11,121,0
1592771122000,172.20.0.11,373,0
1592771123000,172.20.0.11,326,1
1592771124000,172.20.0.11,324,0
1592771125000,172.20.0.11,378,0
1592771126000,172.20.0.11,359,1
1592771127000,172.20.0.11,423,1
1592771128000,172.20.0.11,393,1
1592771129000,172.20.0.11,331,1
1592771132000,172.20.0.11,383,0
1592771138000,172.20.0.11,20098,0
1592771142000,172.20.0.11,20051,0
1592771143000,172.20.0.11,20136,0
1592771144000,172.20.0.11,416,0
1592771147000,172.20.0.11,2804,0
1592771148000,172.20.0.11,20003,0
1592771159000,172.20.0.11,20150,0
1592771164000,172.20.0.11,67,0
1592771171000,172.20.0.11,20046,0
1592771203000,172.20.0.11,258,0
1592771212000,172.20.0.11,1277,0
1592771215000,172.20.0.11,165,0
1592771218000,172.20.0.11,548,0
1592771219000,172.20.0.11,528,0
1592771220000,172.20.0.11,96,0
1592771233000,172.20.0.11,343,0
1592771265000,172.20.0.11,78,0
1592771270000,172.20.0.11,471,0
1592771303000,172.20.0.11,1056,1
1592770981000,172.20.0.12,365,1
1592771007000,172.20.0.12,275,1
1592771012000,172.20.0.12,377,1
1592771094000,172.20.0.12,28,0
1592771095000,172.20.0.12,284,1
1592771096000,172.20.0.12,268,1
1592771117000,172.20.0.12,380,1
1592771118000,172.20.0.12,332,1
1592771129000,172.20.0.12,9994,0
1592771138000,172.20.0.12,20000,0
1592771139000,172.20.0.12,20016,0
1592771140000,172.20.0.12,20017,0
1592771141000,172.20.0.12,20004,0
1592771142000,172.20.0.12,20051,0
1592771143000,172.20.0.12,20001,0
1592771144000,172.20.0.12,20002,0
1592771148000,172.20.0.12,20002,0
1592771164000,172.20.0.12,300,0
1592771165000,172.20.0.12,294,1
1592771166000,172.20.0.12,305,1
1592771168000,172.20.0.12,299,0
1592771205000,172.20.0.12,340,0
1592771233000,172.20.0.12,383,1
1592771234000,172.20.0.12,330,1
1592771235000,172.20.0.12,301,0
1592771236000,172.20.0.12,278,0
1592771237000,172.20.0.12,290,1
1592771239000,172.20.0.12,532,0
1592771242000,172.20.0.12,2652,0
1592771243000,172.20.0.12,20,0
1592771244000,172.20.0.12,274,0
1592771249000,172.20.0.12,20000,0
1592771250000,172.20.0.12,20000,0
1592771253000,172.20.0.12,20002,0
1592771259000,172.20.0.12,20001,0
1592771264000,172.20.0.12,644,1
1592771265000,172.20.0.12,436,1
1592771269000,172.20.0.12,411,0
1592771304000,172.20.0.12,1063,0
1592771311000,172.20.0.12,1418,1
1592770981000,172.20.0.13,301,1
1592771007000,172.20.0.13,284,1
1592771012000,172.20.0.13,333,1
1592771094000,172.20.0.13,279,1
1592771095000,172.20.0.13,284,1
1592771096000,172.20.0.13,276,1
1592771117000,172.20.0.13,417,1
1592771118000,172.20.0.13,355,1
1592771119000,172.20.0.13,363,1
1592771121000,172.20.0.13,73,0
1592771122000,172.20.0.13,374,1
1592771123000,172.20.0.13,395,1
1592771124000,172.20.0.13,575,1
1592771125000,172.20.0.13,453,0
1592771126000,172.20.0.13,305,0
1592771127000,172.20.0.13,299,1
1592771128000,172.20.0.13,297,1
1592771129000,172.20.0.13,350,1
1592771132000,172.20.0.13,439,0
1592771133000,172.20.0.13,299,0
1592771138000,172.20.0.13,20091,0
1592771139000,172.20.0.13,20001,0
1592771140000,172.20.0.13,20023,0
1592771142000,172.20.0.13,20052,0
1592771143000,172.20.0.13,10386,0
1592771144000,172.20.0.13,409,0
1592771146000,172.20.0.13,556,0
1592771165000,172.20.0.13,721,1
1592771166000,172.20.0.13,437,1
1592771168000,172.20.0.13,136,0
1592771169000,172.20.0.13,551,1
1592771171000,172.20.0.13,20001,0
1592771172000,172.20.0.13,20000,0
1592771184000,172.20.0.13,461,0
1592771187000,172.20.0.13,641,0
1592771188000,172.20.0.13,136,0
1592771207000,172.20.0.13,627,0
1592771214000,172.20.0.13,1460,0
1592771215000,172.20.0.13,1139,0
1592771219000,172.20.0.13,585,0
1592771223000,172.20.0.13,547,0
1592771224000,172.20.0.13,710,0
1592771225000,172.20.0.13,89,0
1592771226000,172.20.0.13,965,0
1592771229000,172.20.0.13,952,0
1592771234000,172.20.0.13,20000,0
1592771235000,172.20.0.13,707,1
1592771304000,172.20.0.13,20013,0
1592770981000,172.20.0.14,326,1
1592771012000,172.20.0.14,343,1
1592771071000,172.20.0.14,20007,0
1592771098000,172.20.0.14,299,1
1592771099000,172.20.0.14,326,1
1592771100000,172.20.0.14,381,1
1592771101000,172.20.0.14,185,0
1592771102000,172.20.0.14,685,1
1592771104000,172.20.0.14,1066,1
1592771105000,172.20.0.14,1005,0
1592771106000,172.20.0.14,1121,0
1592771107000,172.20.0.14,1411,0
1592771108000,172.20.0.14,675,0
1592771112000,172.20.0.14,352,1
1592771113000,172.20.0.14,285,0
1592771116000,172.20.0.14,20002,0
1592771117000,172.20.0.14,396,1
1592771118000,172.20.0.14,381,1
1592771119000,172.20.0.14,506,0
1592771121000,172.20.0.14,72,0
1592771122000,172.20.0.14,349,1
1592771123000,172.20.0.14,292,1
1592771124000,172.20.0.14,370,0
1592771125000,172.20.0.14,23,0
1592771126000,172.20.0.14,329,1
1592771131000,172.20.0.14,10266,0
1592771133000,172.20.0.14,20002,0
1592771141000,172.20.0.14,20024,0
1592771142000,172.20.0.14,20003,0
1592771147000,172.20.0.14,281,0
1592771148000,172.20.0.14,349,1
1592771174000,172.20.0.14,20000,0
1592771187000,172.20.0.14,510,0
1592771188000,172.20.0.14,429,1
1592771206000,172.20.0.14,436,0
1592771225000,172.20.0.14,20002,0
1592771228000,172.20.0.14,20002,0
1592771229000,172.20.0.14,20001,0
1592771319000,172.20.0.14,20002,0
1592771320000,172.20.0.14,20002,0
1592771321000,172.20.0.14,20001,0
1592771323000,172.20.0.14,20002,0
1592770981000,172.20.0.15,322,1
1592771012000,172.20.0.15,342,1
1592771095000,172.20.0.15,274,1
1592771096000,172.20.0.15,289,1
1592771097000,172.20.0.15,359,1
1592771098000,172.20.0.15,290,1
1592771099000,172.20.0.15,322,1
1592771100000,172.20.0.15,366,1
1592771101000,172.20.0.15,370,1
1592771102000,172.20.0.15,687,1
1592771103000,172.20.0.15,668,1
1592771104000,172.20.0.15,1084,1
1592771105000,172.20.0.15,1053,0
1592771106000,172.20.0.15,1197,0
1592771107000,172.20.0.15,1422,0
1592771108000,172.20.0.15,1098,1
1592771111000,172.20.0.15,7742,0
1592771112000,172.20.0.15,290,1
1592771113000,172.20.0.15,299,0
1592771117000,172.20.0.15,293,1
1592771118000,172.20.0.15,314,0
1592771119000,172.20.0.15,115,0
1592771120000,172.20.0.15,112,0
1592771121000,172.20.0.15,291,0
1592771122000,172.20.0.15,361,0
1592771123000,172.20.0.15,320,1
1592771124000,172.20.0.15,507,0
1592771125000,172.20.0.15,354,0
1592771126000,172.20.0.15,17,0
1592771127000,172.20.0.15,269,1
1592771128000,172.20.0.15,313,1
1592771129000,172.20.0.15,312,1
1592771133000,172.20.0.15,20001,0
1592771142000,172.20.0.15,20053,0
1592771146000,172.20.0.15,347,0
1592771165000,172.20.0.15,330,0
1592771166000,172.20.0.15,290,1
1592771168000,172.20.0.15,286,1
1592771169000,172.20.0.15,375,1
1592771170000,172.20.0.15,332,1
1592771172000,172.20.0.15,20001,0
1592771184000,172.20.0.15,273,1
1592771187000,172.20.0.15,325,0
1592771206000,172.20.0.15,360,0
1592771233000,172.20.0.15,395,1
1592771235000,172.20.0.15,418,0
1592771236000,172.20.0.15,485,0
1592771237000,172.20.0.15,664,0
1592771253000,172.20.0.15,20002,0
1592770981000,172.20.0.16,308,1
1592771012000,172.20.0.16,310,1
1592771071000,172.20.0.16,20006,0
1592771096000,172.20.0.16,281,1
1592771097000,172.20.0.16,361,1
1592771098000,172.20.0.16,298,1
1592771099000,172.20.0.16,332,1
1592771100000,172.20.0.16,354,1
