"Time","status {id: 172.22.0.11}","status {id: 172.22.0.12}","status {id: 172.22.0.13}","status {id: 172.22.0.14}","status {id: 172.22.0.15}","status {id: 172.22.0.16}","status {id: 172.22.0.17}","status {id: 172.22.0.18}","status {id: 172.22.0.19}","status {id: 172.22.0.20}","status {id: 172.22.0.21}","status {id: 172.22.0.22}","status {id: 172.22.0.23}","status {id: 172.22.0.24}","status {id: 172.22.0.25}","status {id: 172.22.0.26}","status {id: 172.22.0.27}","status {id: 172.22.0.28}","status {id: 172.22.0.29}","status {id: 172.22.0.30}","status {id: 172.22.0.31}","status {id: 172.22.0.32}","status {id: 172.22.0.33}","status {id: 172.22.0.34}","status {id: 172.22.0.35}","status {id: 172.22.0.36}","status {id: 172.22.0.37}","status {id: 172.22.0.38}","status {id: 172.22.0.39}","status {id: 172.22.0.40}","status {id: 172.22.0.41}","status {id: 172.22.0.42}","status {id: 172.22.0.43}","status {id: 172.22.0.44}","status {id: 172.22.0.45}","status {id: 172.22.0.46}","status {id: 172.22.0.47}","status {id: 172.22.0.48}","status {id: 172.22.0.49}","status {id: 172.22.0.50}","status {id: 172.22.0.51}","status {id: 172.22.0.52}","status {id: 172.22.0.53}","status {id: 172.22.0.54}","status {id: 172.22.0.55}","status {id: 172.22.0.56}","status {id: 172.22.0.57}","status {id: 172.22.0.58}","status {id: 172.22.0.59}","status {id: 172.22.0.60}"
1593036879000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036884000,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036889000,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1,,1
1593036895000,0,0,0,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036900000,1,1,,,,,0,,,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036905000,1,1,,,,,1,1,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0
1593036911000,1,1,,,,,1,1,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1
1593036915000,1,1,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,1,1,,1
1593036921000,0,0,0,,,,1,1,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1
1593036926000,1,1,,,,,0,0,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036931000,1,1,,,,,1,1,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1593036941000,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1593036957000,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036965000,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036977000,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
