Time,Active,Inactive
0,1,0
5,6,0
10,43,0
15,44,0
20,47,0
25,4,44
30,33,17
35,50,0
40,50,0
45,50,0
50,14,36
55,11,39
60,35,15
65,43,7
70,49,1
75,49,1
80,49,1
85,49,1
90,50,0
95,50,0
100,50,0
105,50,0
110,50,0
115,50,0
120,50,0
125,50,0
130,30,20
135,10,40
140,26,24
145,47,3
150,49,1
155,50,0
160,50,0
165,50,0
170,50,0
175,49,1
180,46,4
185,47,3
190,47,3
195,49,1
200,49,1
205,49,1
210,50,0
215,50,0
220,49,1
225,47,3
230,31,19
235,5,45
240,13,37
245,38,12
250,50,0
255,50,0
260,48,2
265,48,2
270,48,2
275,48,2
