"Time","uptime.mean {id: 172.22.0.11}","uptime.mean {id: 172.22.0.12}","uptime.mean {id: 172.22.0.13}","uptime.mean {id: 172.22.0.14}","uptime.mean {id: 172.22.0.15}","uptime.mean {id: 172.22.0.16}","uptime.mean {id: 172.22.0.17}","uptime.mean {id: 172.22.0.18}","uptime.mean {id: 172.22.0.19}","uptime.mean {id: 172.22.0.20}","uptime.mean {id: 172.22.0.21}","uptime.mean {id: 172.22.0.22}","uptime.mean {id: 172.22.0.23}","uptime.mean {id: 172.22.0.24}","uptime.mean {id: 172.22.0.25}","uptime.mean {id: 172.22.0.26}","uptime.mean {id: 172.22.0.27}","uptime.mean {id: 172.22.0.28}","uptime.mean {id: 172.22.0.29}","uptime.mean {id: 172.22.0.30}","uptime.mean {id: 172.22.0.31}","uptime.mean {id: 172.22.0.32}","uptime.mean {id: 172.22.0.33}","uptime.mean {id: 172.22.0.34}","uptime.mean {id: 172.22.0.35}","uptime.mean {id: 172.22.0.36}","uptime.mean {id: 172.22.0.37}","uptime.mean {id: 172.22.0.38}","uptime.mean {id: 172.22.0.39}","uptime.mean {id: 172.22.0.40}","uptime.mean {id: 172.22.0.41}","uptime.mean {id: 172.22.0.42}","uptime.mean {id: 172.22.0.43}","uptime.mean {id: 172.22.0.44}","uptime.mean {id: 172.22.0.45}","uptime.mean {id: 172.22.0.46}","uptime.mean {id: 172.22.0.47}","uptime.mean {id: 172.22.0.48}","uptime.mean {id: 172.22.0.49}","uptime.mean {id: 172.22.0.50}","uptime.mean {id: 172.22.0.51}","uptime.mean {id: 172.22.0.52}","uptime.mean {id: 172.22.0.53}","uptime.mean {id: 172.22.0.54}","uptime.mean {id: 172.22.0.55}","uptime.mean {id: 172.22.0.56}","uptime.mean {id: 172.22.0.57}","uptime.mean {id: 172.22.0.58}","uptime.mean {id: 172.22.0.59}","uptime.mean {id: 172.22.0.60}"
1593036742000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036743000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036743500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036744500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036745500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036746000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036746500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036747500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036748000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036748500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036749500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036750500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036751000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036751500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036752000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036752500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036753500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
