"Time","6265f41ce362","7f0d729b5c43","e77e1fc9e3b9","ff83f9bd38a4"
1591447837000,,,,
1591447838000,,,,
1591447839000,66196184,66196160.00000001,66196164,66196184
1591447840000,,,,
1591447841000,,,,
1591447842000,,,,
1591447843000,,,,
1591447844000,66195968.00000001,66195956.00000001,66195956.00000001,66195968.00000001
1591447845000,,,,
1591447846000,,,,
1591447847000,,,,
1591447848000,,,,
1591447849000,66195744.00000001,66195736.00000002,66195736.00000002,66195744.00000001
1591447850000,,,,
1591447851000,,,,
1591447852000,,,,
1591447853000,,,,
1591447854000,66195216.00000001,66195212,66195216.00000001,66195216.00000001
1591447855000,,,,
1591447856000,,,,
1591447857000,,,,
1591447858000,,,,
1591447859000,66187596.00000001,66187576.00000001,66187576.00000001,66187608
1591447860000,,,,
1591447861000,,,,
1591447862000,,,,
1591447863000,,,,
1591447864000,66187740.00000001,66187736.00000001,66187736.00000001,66187744.00000001
1591447865000,,,,
1591447866000,,,,
1591447867000,,,,
1591447868000,,,,
1591447869000,66187680,,66187672.00000001,66187680
1591447870000,,,,
1591447871000,,,,
1591447872000,,66187672.00000001,,
1591447873000,,,,
1591447874000,66187644.00000001,,,66187644.00000001
1591447875000,,,66187640.00000001,
1591447876000,,,,
1591447877000,,66109748,,
1591447878000,,,,
1591447879000,,,,
1591447880000,66055296.00000001,,66055296.00000001,66055300.00000001
1591447881000,,,,
1591447882000,,66054648.00000002,,
1591447883000,,,,
1591447884000,,,,
1591447885000,66053192,,66053184.00000001,66053192
1591447886000,,,,
1591447887000,,66052596.00000001,,
1591447888000,,,,
1591447889000,,,,
1591447890000,66051544.00000001,,66051472.00000001,66051544.00000001
1591447891000,,,,
1591447892000,,66050264.00000002,,
1591447893000,,,,
1591447894000,,,,
1591447895000,66049232.00000001,,66049228.00000001,66049232.00000001
1591447896000,,,,
1591447897000,,66048572.00000001,,
1591447898000,,,,
1591447899000,,,,
1591447900000,66047112.00000001,,66047108.00000001,66047776
1591447901000,,,,
1591447902000,,66046524.00000001,,
1591447903000,,,,
1591447904000,,,,
1591447905000,66045796,,,66045796
1591447906000,,,,
1591447907000,,66045048.00000001,,
1591447908000,,,,
1591447909000,,,,
1591447910000,66043736,,,66043736
1591447911000,,,,
1591447912000,,,,
1591447913000,,66043016.00000001,66043016.00000001,
1591447914000,,,,
1591447915000,,,,
1591447916000,66042368.00000002,,,66042368.00000002
1591447917000,,,,
1591447918000,,66041700.00000001,66041700.00000001,
1591447919000,,,,
1591447920000,,,,
1591447921000,66040291.99999999,,,
1591447922000,,,,
1591447923000,,66039668.00000001,66039640.00000001,
1591447924000,,,,
1591447925000,,,,
1591447926000,66039416.00000001,,,
1591447927000,,,,
1591447928000,,66038736,66038768.00000001,
1591447929000,,,,
1591447930000,,,,
1591447931000,66037400.00000001,,,
1591447932000,,,,
1591447933000,,66036724.00000001,66036724.00000001,
1591447934000,,,,
1591447935000,,,,
1591447936000,66035400,,,
1591447937000,,,,
1591447938000,,66034736.00000001,66034736.00000001,
1591447939000,,,,
1591447940000,,,,
1591447941000,66034076.00000001,,,
1591447942000,,,,
1591447943000,,,,
1591447944000,,66033364.00000001,66033364.00000001,
1591447945000,,,,
1591447946000,66031936.00000001,,,
1591447947000,,,,
1591447948000,,,,
1591447949000,,66031324.00000002,66031324.00000002,
1591447950000,,,,
1591447951000,,,,
1591447952000,66030648,,,
1591447953000,,,,
1591447954000,,66029804,66029804,
1591447955000,,,,
1591447956000,,,,
1591447957000,66028632.00000001,,,
1591447958000,,,,
1591447959000,,,66027920.00000001,
1591447960000,,,,
1591447961000,,,,
1591447962000,66027248.00000001,,,
1591447963000,,,,
1591447964000,,,66026452.00000001,
1591447965000,,,,
1591447966000,,,,
1591447967000,66025136.00000001,,,
1591447968000,,,,
1591447969000,,,66024420.00000001,
1591447970000,,,,
1591447971000,,,,
1591447972000,66023020.00000001,,,
1591447973000,,,,
1591447974000,,,66022300,
1591447975000,,,,
1591447976000,,,,
1591447977000,66021548.00000001,,,
1591447978000,,,,
1591447979000,,,,
1591447980000,,,66020932.00000001,
1591447981000,,,,
1591447982000,,,,
1591447983000,66019620,,,
1591447984000,,,,
1591447985000,,,66019056.00000001,
1591447986000,,,,
1591447987000,,,,
1591447988000,66018396.00000002,,,
1591447989000,,,,
1591447990000,,,66018192,
1591447991000,,,,
1591447992000,,,,
1591447993000,66016884,,,
1591447994000,,,,
1591447995000,,,66016144.00000002,
1591447996000,,,,
1591447997000,,,,
1591447998000,66015488.00000001,,,
1591447999000,,,,
1591448000000,,,66013988,
1591448001000,,,,
1591448002000,,,,
1591448003000,,,,
1591448004000,,,,
1591448005000,,,66012616.00000001,
1591448006000,,,,
1591448007000,,,,
1591448008000,,,,
1591448009000,,,,
1591448010000,,,,
1591448011000,,,66010536,
1591448012000,,,,
1591448013000,,,,
1591448014000,,,,
1591448015000,,,,
1591448016000,,,66009328.00000002,
1591448017000,,,,
1591448018000,,,,
1591448019000,,,,
1591448020000,,,,
1591448021000,,,66007300,
1591448022000,,,,
1591448023000,,,,
1591448024000,,,,
1591448025000,,,,
1591448026000,,,66005900,
1591448027000,,,,
1591448028000,,,,
1591448029000,,,,
1591448030000,,,,
1591448031000,,,66003880,
1591448032000,,,,
1591448033000,,,,
1591448034000,,,,
1591448035000,,,,
1591448036000,,,66001856.00000001,
