Time,"6265f41ce362","7f0d729b5c43","e77e1fc9e3b9","ff83f9bd38a4"
1591447895000,14463,,13330,13383
1591447900000,14463,,13330,13383
1591447905000,14463,,13330,13383
1591447910000,14463,,,13383
1591447915000,14463,,,13383
1591447921000,14463,,,
1591447926000,17684,,,
1591447931000,17684,,,
1591447936000,17684,,,
1591447941000,17684,,,
1591447946000,17684,,,
1591447952000,17684,,,
1591447957000,17684,,,
1591447962000,17684,,,
1591447967000,28452,,,
1591447972000,28452,,,
1591447977000,28452,,,
1591447982000,28452,,,
1591447988000,28452,,,
1591447993000,28452,,,
1591447998000,28452,,,
1591447892000,,12719,,
1591447897000,,12719,,
1591447902000,,12719,,
1591447907000,,12719,,
1591447913000,,12719,,
1591447918000,,12719,13330,
1591447923000,,12719,13330,
1591447928000,,18528,16704,
1591447933000,,18528,16704,
1591447938000,,18528,16704,
1591447943000,,18528,16704,
1591447949000,,18528,16704,
1591447954000,,18528,16704,
1591447912000,,,13330,
1591447959000,,,16704,
1591447964000,,,23485,
1591447969000,,,23485,
1591447974000,,,23485,
1591447979000,,,23485,
1591447985000,,,23485,
1591447990000,,,23485,
1591447995000,,,23485,
1591448000000,,,23485,
1591448005000,,,47718,
1591448010000,,,47718,
1591448016000,,,47718,
1591448021000,,,47718,
1591448026000,,,47718,
1591448031000,,,47718,
1591448036000,,,47718,
1591448041000,,,47718,
1591448046000,,,47718,
1591448052000,,,47718,
1591448057000,,,47718,
1591448062000,,,47718,
1591448067000,,,47718,
1591448072000,,,47718,
1591448077000,,,47718,
1591448083000,,,47718,
