"Time","id","nodes","nr"
1591447839000,6265f41ce362,,1
1591447844000,6265f41ce362,,1
1591447849000,6265f41ce362,,1
1591447854000,6265f41ce362,,1
1591447859000,6265f41ce362,,1
1591447864000,6265f41ce362,,1
1591447869000,6265f41ce362,,1
1591447874000,6265f41ce362,,1
1591447880000,6265f41ce362,,1
1591447885000,6265f41ce362,,1
1591447890000,6265f41ce362,,1
1591447895000,6265f41ce362,temperature-humidity:48f6987098d968 if:a207f879b10428 and:1f0d01b8c8b596 mqttout:8c8c3dc186b62 temperature-humidity:2da4b70d7ee878 if:4f87a261c606ac and:9e7aeb2d7fdf68 if:2c5d09bafd6976 and:1dec3ec9feb731,9
1591447900000,6265f41ce362,temperature-humidity:48f6987098d968 if:a207f879b10428 and:1f0d01b8c8b596 mqttout:8c8c3dc186b62 temperature-humidity:2da4b70d7ee878 if:4f87a261c606ac and:9e7aeb2d7fdf68 if:2c5d09bafd6976 and:1dec3ec9feb731,9
1591447905000,6265f41ce362,temperature-humidity:48f6987098d968 if:a207f879b10428 and:1f0d01b8c8b596 mqttout:8c8c3dc186b62 temperature-humidity:2da4b70d7ee878 if:4f87a261c606ac and:9e7aeb2d7fdf68 if:2c5d09bafd6976 and:1dec3ec9feb731,9
1591447910000,6265f41ce362,temperature-humidity:48f6987098d968 if:a207f879b10428 and:1f0d01b8c8b596 mqttout:8c8c3dc186b62 temperature-humidity:2da4b70d7ee878 if:4f87a261c606ac and:9e7aeb2d7fdf68 if:2c5d09bafd6976 and:1dec3ec9feb731,9
1591447916000,6265f41ce362,temperature-humidity:48f6987098d968 if:a207f879b10428 and:1f0d01b8c8b596 mqttout:8c8c3dc186b62 temperature-humidity:2da4b70d7ee878 if:4f87a261c606ac and:9e7aeb2d7fdf68 if:2c5d09bafd6976 and:1dec3ec9feb731,9
1591447921000,6265f41ce362,temperature-humidity:48f6987098d968 if:a207f879b10428 and:1f0d01b8c8b596 mqttout:8c8c3dc186b62 temperature-humidity:2da4b70d7ee878 if:4f87a261c606ac and:9e7aeb2d7fdf68 if:2c5d09bafd6976 and:1dec3ec9feb731,9
1591447926000,6265f41ce362,temperature-humidity:48f6987098d968 if:ca27c551dde9 if:2a68462a679d02 and:1f0d01b8c8b596 and:a85995fdaa6a78 mqttout:c3d3a7568a5448 if:88a2fb1a3105c8 if:4f87a261c606ac and:5ab1d2738b9c04 if:4289cc652e83a4 if:f290a8b00b7b6 and:1dec3ec9feb731,12
1591447931000,6265f41ce362,temperature-humidity:48f6987098d968 if:ca27c551dde9 if:2a68462a679d02 and:1f0d01b8c8b596 and:a85995fdaa6a78 mqttout:c3d3a7568a5448 if:88a2fb1a3105c8 if:4f87a261c606ac and:5ab1d2738b9c04 if:4289cc652e83a4 if:f290a8b00b7b6 and:1dec3ec9feb731,12
1591447936000,6265f41ce362,temperature-humidity:48f6987098d968 if:ca27c551dde9 if:2a68462a679d02 and:1f0d01b8c8b596 and:a85995fdaa6a78 mqttout:c3d3a7568a5448 if:88a2fb1a3105c8 if:4f87a261c606ac and:5ab1d2738b9c04 if:4289cc652e83a4 if:f290a8b00b7b6 and:1dec3ec9feb731,12
