Time,6265f41ce362,7f0d729b5c43,e77e1fc9e3b9,ff83f9bd38a4
1591447839000,0,,,
1591447844000,0,,,
1591447849000,0,,,
1591447854000,0,,,
1591447859000,0,,,
1591447864000,0,,,
1591447869000,0,,,
1591447874000,0,,,
1591447880000,0,,,
1591447885000,0,,,
1591447890000,0,,,
1591447895000,9,,,
1591447900000,9,,,
1591447905000,9,,,
1591447910000,9,,,
1591447916000,9,,,
1591447921000,9,,,
1591447926000,12,,,
1591447931000,12,,,
1591447936000,12,,,
1591447941000,12,,,
1591447946000,12,,,
1591447952000,12,,,
1591447957000,12,,,
1591447962000,12,,,
1591447967000,18,,,
1591447972000,18,,,
1591447977000,18,,,
1591447983000,18,,,
1591447988000,18,,,
1591447993000,18,,,
1591447998000,18,,,
1591447839000,,0,,
1591447844000,,0,,
1591447849000,,0,,
1591447854000,,0,,
1591447859000,,0,,
1591447864000,,0,,
1591447871000,,0,,
1591447877000,,0,,
1591447882000,,0,,
1591447887000,,0,,
1591447892000,,9,,
1591447897000,,9,,
1591447902000,,9,,
1591447907000,,9,,
1591447913000,,9,,
1591447918000,,9,,
1591447923000,,9,,
1591447928000,,12,,
1591447933000,,12,,
1591447938000,,12,,
1591447944000,,12,,
1591447949000,,12,,
1591447954000,,12,,
1591447839000,,,0,
1591447844000,,,0,
1591447849000,,,0,
1591447854000,,,0,
1591447859000,,,0,
1591447864000,,,0,
1591447869000,,,0,
1591447875000,,,0,
1591447880000,,,0,
1591447885000,,,0,
1591447890000,,,0,
1591447895000,,,9,
1591447900000,,,9,
1591447913000,,,9,
1591447918000,,,9,
1591447923000,,,9,
1591447928000,,,12,
1591447933000,,,12,
1591447938000,,,12,
1591447943000,,,12,
1591447949000,,,12,
1591447954000,,,12,
1591447959000,,,12,
1591447964000,,,18,
1591447969000,,,18,
1591447974000,,,18,
1591447980000,,,18,
1591447985000,,,18,
1591447990000,,,18,
1591447995000,,,18,
1591448000000,,,18,
1591448005000,,,34,
1591448011000,,,34,
1591448016000,,,34,
1591448021000,,,34,
1591448026000,,,34,
1591448031000,,,34,
1591448036000,,,34,
1591448041000,,,34,
1591448047000,,,34,
1591448052000,,,34,
1591448057000,,,34,
1591448062000,,,34,
1591448067000,,,34,
1591448072000,,,34,
1591448077000,,,34,
1591448083000,,,34,
1591448088000,,,34,
1591448093000,,,34,
1591448098000,,,34,
1591448103000,,,34,
1591448108000,,,34,
1591448114000,,,34,
1591448119000,,,34,
1591448124000,,,34,
1591447839000,,,,0
1591447844000,,,,0
1591447849000,,,,0
1591447854000,,,,0
1591447859000,,,,0
1591447864000,,,,0
1591447869000,,,,0
1591447874000,,,,0
1591447880000,,,,0
1591447885000,,,,0
1591447890000,,,,0
1591447895000,,,,9
1591447900000,,,,9
1591447905000,,,,9
1591447910000,,,,9
1591447916000,,,,9
