"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462336000,,,,
1591462337000,,,,
1591462338000,69512848.00000001,69512848.00000001,69512848.00000001,69512856
1591462339000,,,,
1591462340000,,,,
1591462341000,,,,
1591462342000,,,,
1591462343000,69512684.00000001,69512688.00000001,69512688.00000001,69512692
1591462344000,,,,
1591462345000,,,,
1591462346000,,,,
1591462347000,,,,
1591462348000,69512272.00000001,69512272.00000001,69512280,69512280
1591462349000,,,,
1591462350000,,,,
1591462351000,,,,
1591462352000,,,,
1591462353000,,69512152,69512152,69512156.00000001
1591462354000,69512152,,,
1591462355000,,,,
1591462356000,,,,
1591462357000,,,,
1591462358000,,,,69504584.00000001
1591462359000,69504580.00000001,69504580.00000001,69504584.00000001,
1591462360000,,,,
1591462361000,,,,
1591462362000,,,,
1591462363000,,,,
1591462364000,69504724.00000001,69504724.00000001,69504724.00000001,69504732.00000001
1591462365000,,,,
1591462366000,,,,
1591462367000,,,,
1591462368000,,,,
1591462369000,69504624.00000001,69504624.00000001,69504624.00000001,
1591462370000,,,,
1591462371000,,,,69504612.00000001
1591462372000,,,,
1591462373000,,,,
1591462374000,69504496.00000001,69504500.00000001,69504500.00000001,
1591462375000,,,,
1591462376000,,,,69504496.00000001
1591462377000,,,,
1591462378000,,,,
1591462379000,69446804,69452832.00000001,69457172.00000001,
1591462380000,,,,
1591462381000,,,,69372744
1591462382000,,,,
1591462383000,,,,
1591462384000,69372736.00000001,69372740.00000001,69372740.00000001,
1591462385000,,,,
1591462386000,,,,69372728.00000001
1591462387000,,,,
1591462388000,,,,
1591462389000,69372700.00000001,69372708,69372712.00000001,
1591462390000,,,,
1591462391000,,,,69372692.00000001
1591462392000,,,,
1591462393000,,,,
1591462394000,,,,
1591462395000,69372684.00000001,69372684.00000001,69372684.00000001,
1591462396000,,,,69372680
1591462397000,,,,
1591462398000,,,,
1591462399000,,,,
1591462400000,69366284.00000001,69366284.00000001,69366288.00000001,
1591462401000,,,,
1591462402000,,,,69365632.00000001
1591462403000,,,,
1591462404000,,,,
1591462405000,69364976.00000001,69364976.00000001,69364980,
1591462406000,,,,
1591462407000,,,,69363932.00000001
1591462408000,,,,
1591462409000,,,,
1591462410000,69362724.00000001,69362724.00000001,69362724.00000001,
1591462411000,,,,
1591462412000,,,,69362068.00000001
1591462413000,,,,
1591462414000,,,,
1591462415000,69360744.00000001,69361392.00000001,69361396.00000001,
1591462416000,,,,
1591462417000,,,,69357272.00000001
1591462418000,,,,
1591462419000,,,,
1591462420000,69350216.00000001,69350220.00000001,69350220.00000001,
1591462421000,,,,
1591462422000,,,,69349540.00000001
1591462423000,,,,
1591462424000,,,,
1591462425000,69348216.00000001,69348216.00000001,69348216.00000001,
1591462426000,,,,
1591462427000,,,,69347500
1591462428000,,,,
1591462429000,,,,
1591462430000,,,,
1591462431000,69346884.00000001,69346884.00000001,69346888.00000001,
1591462432000,,,,69346164
1591462433000,,,,
1591462434000,,,,
1591462435000,,,,
1591462436000,69344872.00000001,69344872.00000001,,
1591462437000,,,,
1591462438000,,,,69344352
1591462439000,,,,
1591462440000,,,,
1591462441000,69343576,69343556.00000001,,
1591462442000,,,,
1591462443000,,,,69342896
1591462444000,,,,
1591462445000,,,,
1591462446000,69341576.00000001,69341576.00000001,,
1591462447000,,,,
1591462448000,,,,69340892.00000001
1591462449000,,,,
1591462450000,,,,
1591462451000,69339580.00000001,69339580.00000001,,
1591462452000,,,,
1591462453000,,,,69339576.00000001
1591462454000,,,,
1591462455000,,,,
1591462456000,69338268.00000001,69338268.00000001,,
1591462457000,,,,
1591462458000,,,,69337600.00000001
1591462459000,,,,
1591462460000,,,,
1591462461000,,,,
1591462462000,69336292,69336292,,
1591462463000,,,,69335616.00000001
1591462464000,,,,
1591462465000,,,,
1591462466000,,,,
1591462467000,69334952,,,
1591462468000,,,,
1591462469000,,,,69334164
1591462470000,,,,
1591462471000,,,,
1591462472000,69332884.00000001,,,
1591462473000,,,,
1591462474000,,,,69332208.00000001
1591462475000,,,,
1591462476000,,,,
1591462477000,69331548.00000001,,,
1591462478000,,,,
1591462479000,,,,69330748
1591462480000,,,,
1591462481000,,,,
1591462482000,69329436.00000001,,,
1591462483000,,,,
1591462484000,,,,69328912
