"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462336000,,,,
1591462337000,,,,
1591462338000,1978912,1978944,1979616,1979584
1591462339000,,,,
1591462340000,,,,
1591462341000,,,,
1591462342000,,,,
1591462343000,1998688,1998688,1998656,1998688
1591462344000,,,,
1591462345000,,,,
1591462346000,,,,
1591462347000,,,,
1591462348000,1991168,1990528,1989856,1991168
1591462349000,,,,
1591462350000,,,,
1591462351000,,,,
1591462352000,,,,
1591462353000,1982144,1981504,1981472,1982784
1591462354000,,,,
1591462355000,,,,
1591462356000,,,,
1591462357000,,,,
1591462358000,,,1977056,1975808
1591462359000,1978368,1977088,,
1591462360000,,,,
1591462361000,,,,
1591462362000,,,,
1591462363000,,,,1968128
1591462364000,1965568,1964288,1965536,
1591462365000,,,,
1591462366000,,,,
1591462367000,,,,
1591462368000,,,,
1591462369000,1953344,1953984,1955296,
1591462370000,,,,
1591462371000,,,,1955712
1591462372000,,,,
1591462373000,,,,
1591462374000,1947648,1947648,1948896,
1591462375000,,,,
1591462376000,,,,1978368
1591462377000,,,,
1591462378000,,,,
1591462379000,2002688,2002048,2002656,
1591462380000,,,,
1591462381000,,,,2006528
1591462382000,,,,
1591462383000,,,,
1591462384000,1993728,1994368,1994976,
1591462385000,,,,
1591462386000,,,,2002688
1591462387000,,,,
1591462388000,,,,
1591462389000,1987328,1987328,1987296,
1591462390000,,,,
1591462391000,,,,1998848
1591462392000,,,,
1591462393000,,,,
1591462394000,,1979648,1979616,
1591462395000,1979648,,,
1591462396000,,,,1994368
1591462397000,,,,
1591462398000,,,,
1591462399000,,,,
1591462400000,1971328,1971968,1971296,
1591462401000,,,,1990528
1591462402000,,,,
1591462403000,,,,
1591462404000,,,,
1591462405000,1964288,1961664,1964256,
1591462406000,,,,
1591462407000,,,,1976992
1591462408000,,,,
1591462409000,,,,
1591462410000,1952640,1953824,1959040,
1591462411000,,,,
1591462412000,,,,1959360
1591462413000,,,,
1591462414000,,,,
1591462415000,1937664,1937760,1990048,
1591462416000,,,,
1591462417000,,,,1940320
1591462418000,,,,
1591462419000,,,,
1591462420000,1976064,1970752,1971584,
1591462421000,,,,
1591462422000,,,,1966208
1591462423000,,,,
1591462424000,,,,
1591462425000,1961344,1958016,1958784,
1591462426000,,,,
1591462427000,,,,1954400
1591462428000,,,,
1591462429000,,,,
1591462430000,,,1944704,
1591462431000,1949184,1943488,,
1591462432000,,,,1947040
1591462433000,,,,
1591462434000,,,,
1591462435000,,,,
1591462436000,1973056,1980128,,
1591462437000,,,,1944224
1591462438000,,,,
1591462439000,,,,
1591462440000,,,,
1591462441000,1917696,1911712,,
1591462442000,,,,
1591462443000,,,,1931424
1591462444000,,,,
1591462445000,,,,
1591462446000,1968640,1969440,,
1591462447000,,,,
1591462448000,,,,1923232
1591462449000,,,,
1591462450000,,,,
1591462451000,1953920,1954656,,
1591462452000,,,,
1591462453000,,,,1976960
1591462454000,,,,
1591462455000,,,,
1591462456000,1970528,1966880,,
1591462457000,,,,
1591462458000,,,,1949920
1591462459000,,,,
1591462460000,,,,
1591462461000,1957088,1952160,,
1591462462000,,,,
1591462463000,,,,1935808
1591462464000,,,,
1591462465000,,,,
1591462466000,,,,
1591462467000,1943008,,,
1591462468000,,,,1903040
1591462469000,,,,
1591462470000,,,,
1591462471000,,,,
1591462472000,1918240,,,
1591462473000,,,,
1591462474000,,,,1879520
1591462475000,,,,
1591462476000,,,,
1591462477000,1974336,,,
1591462478000,,,,
1591462479000,,,,1864960
1591462480000,,,,
1591462481000,,,,
1591462482000,1955456,,,
1591462483000,,,,
1591462484000,,,,1965472
1591462485000,,,,
1591462486000,,,,
1591462487000,1941632,,,
1591462488000,,,,
1591462489000,,,,1952000
1591462490000,,,,
1591462491000,,,,
1591462492000,1957568,,,
1591462493000,,,1978944,
1591462494000,,,,1943712
1591462495000,,,,
1591462496000,,,,
1591462497000,,,,
1591462498000,1942912,,1997664,
1591462499000,,,,1922368
1591462500000,,,,
1591462501000,,,,
1591462502000,,,,
1591462503000,1928288,,1989568,
1591462504000,,,,
1591462505000,,,,1893632
1591462506000,,,,
1591462507000,,,,
1591462508000,1915104,,1980544,
1591462509000,,,,
1591462510000,,,,1879040
1591462511000,,,,
1591462512000,,,,
