"Time","id","nodes","nr"
1591462338000,05a1edad2fbe,,1
1591462343000,05a1edad2fbe,,1
1591462348000,05a1edad2fbe,,1
1591462353000,05a1edad2fbe,,1
1591462359000,05a1edad2fbe,,1
1591462364000,05a1edad2fbe,,1
1591462369000,05a1edad2fbe,,1
1591462374000,05a1edad2fbe,,1
1591462379000,05a1edad2fbe,,1
1591462384000,05a1edad2fbe,,1
1591462389000,05a1edad2fbe,,1
1591462395000,05a1edad2fbe,,1
1591462400000,05a1edad2fbe,,1
1591462405000,05a1edad2fbe,,1
1591462410000,05a1edad2fbe,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 if:4289cc652e83a4 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591462415000,05a1edad2fbe,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 if:4289cc652e83a4 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591462420000,05a1edad2fbe,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 if:4289cc652e83a4 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591462425000,05a1edad2fbe,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 if:4289cc652e83a4 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591462431000,05a1edad2fbe,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 if:4289cc652e83a4 if:a59c92f5e03198 and:14c8b7eab76d3,9
