Time,05a1edad2fbe,475b23bd6fe1,61e1d49d0982,6501f2170a37
1591462338000,0,,,
1591462343000,0,,,
1591462348000,0,,,
1591462353000,0,,,
1591462359000,0,,,
1591462364000,0,,,
1591462369000,0,,,
1591462374000,0,,,
1591462379000,0,,,
1591462384000,0,,,
1591462389000,0,,,
1591462395000,0,,,
1591462400000,0,,,
1591462405000,0,,,
1591462410000,9,,,
1591462415000,9,,,
1591462420000,9,,,
1591462425000,9,,,
1591462431000,9,,,
1591462436000,9,,,
1591462441000,12,,,
1591462446000,12,,,
1591462451000,12,,,
1591462456000,12,,,
1591462462000,12,,,
1591462467000,12,,,
1591462472000,18,,,
1591462477000,18,,,
1591462482000,18,,,
1591462487000,18,,,
1591462492000,18,,,
1591462498000,18,,,
1591462503000,18,,,
1591462508000,18,,,
1591462513000,18,,,
1591462518000,18,,,
1591462523000,18,,,
1591462529000,18,,,
1591462534000,18,,,
1591462539000,18,,,
1591462544000,18,,,
1591462549000,18,,,
1591462554000,18,,,
1591462559000,18,,,
1591462565000,18,,,
1591462570000,18,,,
1591462575000,18,,,
1591462580000,18,,,
1591462585000,18,,,
1591462590000,18,,,
1591462596000,18,,,
1591462601000,18,,,
1591462606000,18,,,
1591462611000,18,,,
1591462616000,18,,,
1591462621000,18,,,
1591462626000,18,,,
1591462632000,18,,,
1591462637000,18,,,
1591462642000,18,,,
1591462647000,18,,,
1591462652000,18,,,
1591462657000,18,,,
1591462663000,18,,,
1591462338000,,0,,
1591462343000,,0,,
1591462348000,,0,,
1591462353000,,0,,
1591462359000,,0,,
1591462364000,,0,,
1591462369000,,0,,
1591462374000,,0,,
1591462379000,,0,,
1591462384000,,0,,
1591462389000,,0,,
1591462395000,,0,,
1591462400000,,0,,
1591462405000,,0,,
1591462410000,,9,,
1591462415000,,9,,
1591462420000,,9,,
1591462425000,,9,,
1591462431000,,9,,
1591462436000,,9,,
1591462441000,,12,,
1591462446000,,12,,
1591462451000,,12,,
1591462456000,,12,,
1591462461000,,12,,
1591462338000,,,0,
1591462343000,,,0,
1591462348000,,,0,
1591462353000,,,0,
1591462359000,,,0,
1591462364000,,,0,
1591462369000,,,0,
1591462374000,,,0,
1591462379000,,,0,
1591462384000,,,0,
1591462389000,,,0,
1591462395000,,,0,
1591462400000,,,0,
1591462405000,,,0,
1591462410000,,,9,
1591462415000,,,9,
1591462420000,,,9,
1591462425000,,,9,
1591462431000,,,9,
1591462493000,,,0,
1591462498000,,,0,
1591462503000,,,0,
1591462508000,,,0,
1591462513000,,,0,
1591462518000,,,0,
1591462523000,,,0,
1591462529000,,,0,
1591462338000,,,,0
1591462343000,,,,0
1591462348000,,,,0
1591462353000,,,,0
1591462358000,,,,0
1591462364000,,,,0
1591462371000,,,,0
1591462376000,,,,0
1591462381000,,,,0
1591462386000,,,,0
1591462391000,,,,0
1591462396000,,,,0
1591462401000,,,,0
1591462407000,,,,9
1591462412000,,,,9
1591462417000,,,,9
1591462422000,,,,9
1591462427000,,,,9
1591462432000,,,,9
1591462438000,,,,9
1591462443000,,,,12
1591462448000,,,,12
1591462453000,,,,12
1591462458000,,,,12
1591462463000,,,,12
1591462469000,,,,18
1591462474000,,,,18
1591462479000,,,,18
1591462484000,,,,18
1591462489000,,,,18
1591462494000,,,,18
1591462499000,,,,18
1591462505000,,,,18
1591462510000,,,,18
1591462515000,,,,18
1591462520000,,,,18
1591462525000,,,,18
1591462530000,,,,18
1591462536000,,,,18
1591462541000,,,,18
1591462546000,,,,18
1591462551000,,,,18
1591462556000,,,,18
1591462561000,,,,18
1591462566000,,,,18
1591462572000,,,,18
1591462577000,,,,18
1591462582000,,,,18
1591462587000,,,,18
1591462592000,,,,18
1591462597000,,,,18
1591462603000,,,,18
1591462608000,,,,18
1591462613000,,,,18
1591462618000,,,,18
1591462623000,,,,18
1591462628000,,,,18
1591462633000,,,,18
1591462639000,,,,18
1591462644000,,,,18
1591462649000,,,,18
1591462654000,,,,18
1591462659000,,,,18
1591462664000,,,,18
