"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462336000,,,,
1591462337000,,,,
1591462338000,223,222,223,224
1591462339000,,,,
1591462340000,,,,
1591462341000,,,,
1591462342000,,,,
1591462343000,5351,5356,5357,5349
1591462344000,,,,
1591462345000,,,,
1591462346000,,,,
1591462347000,,,,
1591462348000,10477,10484,10484,10477
1591462349000,,,,
1591462350000,,,,
1591462351000,,,,
1591462352000,,,,
1591462353000,15600,15610,15609,15603
1591462354000,,,,
1591462355000,,,,
1591462356000,,,,
1591462357000,,,,
1591462358000,,,20753,20739
1591462359000,20730,20738,,
1591462360000,,,,
1591462361000,,,,
1591462362000,,,,
1591462363000,,,,25878
1591462364000,25929,25929,25916,
1591462365000,,,,
1591462366000,,,,
1591462367000,,,,
1591462368000,,,,
1591462369000,31067,31058,31069,
1591462370000,,,,
1591462371000,,,,
1591462372000,,,,
1591462373000,,,,
1591462374000,36194,36186,36200,
1591462375000,,,,
1591462376000,,,,38200
1591462377000,,,,
1591462378000,,,,
1591462379000,41325,41316,41329,
1591462380000,,,,
1591462381000,,,,43329
1591462382000,,,,
1591462383000,,,,
1591462384000,46449,46440,46452,
1591462385000,,,,
1591462386000,,,,48462
1591462387000,,,,
1591462388000,,,,
1591462389000,51575,51567,51582,
1591462390000,,,,
1591462391000,,,,53588
1591462392000,,,,
1591462393000,,,,
1591462394000,56702,56697,56714,
1591462395000,,,,
1591462396000,,,,58723
1591462397000,,,,
1591462398000,,,,
1591462399000,,,,
1591462400000,61825,61828,61853,
1591462401000,,,,63855
1591462402000,,,,
1591462403000,,,,
1591462404000,,,,
1591462405000,66955,66961,66986,
1591462406000,,,,
1591462407000,,,,68985
1591462408000,,,,
1591462409000,,,,
1591462410000,72082,72098,72123,
1591462411000,,,,
1591462412000,,,,74133
1591462413000,,,,
1591462414000,,,,
1591462415000,77239,77251,77281,
1591462416000,,,,
1591462417000,,,,79286
1591462418000,,,,
1591462419000,,,,
1591462420000,82391,82409,82430,
1591462421000,,,,
1591462422000,,,,84450
1591462423000,,,,
1591462424000,,,,
1591462425000,87543,87559,87582,
1591462426000,,,,
1591462427000,,,,89605
1591462428000,,,,
1591462429000,,,,
1591462430000,,92711,92733,
1591462431000,92692,,,
1591462432000,,,,94761
1591462433000,,,,
1591462434000,,,,
1591462435000,,,,
1591462436000,97844,97863,,
1591462437000,,,,99909
1591462438000,,,,
1591462439000,,,,
1591462440000,,,,
1591462441000,102995,103011,,
1591462442000,,,,
1591462443000,,,,105066
1591462444000,,,,
1591462445000,,,,
1591462446000,108147,108168,,
1591462447000,,,,
1591462448000,,,,110227
1591462449000,,,,
1591462450000,,,,
1591462451000,113295,113316,,
1591462452000,,,,
1591462453000,,,,115373
1591462454000,,,,
1591462455000,,,,
1591462456000,118450,118468,,
1591462457000,,,,
1591462458000,,,,120531
1591462459000,,,,
1591462460000,,,,
1591462461000,123603,123629,,
1591462462000,,,,
1591462463000,,,,125691
1591462464000,,,,
1591462465000,,,,
1591462466000,,,,
1591462467000,128753,,,
1591462468000,,,,130849
1591462469000,,,,
1591462470000,,,,
1591462471000,,,,
1591462472000,133911,,,
1591462473000,,,,
1591462474000,,,,136010
1591462475000,,,,
1591462476000,,,,
1591462477000,139069,,,
1591462478000,,,,
1591462479000,,,,141155
1591462480000,,,,
1591462481000,,,,
1591462482000,144227,,,
1591462483000,,,,
1591462484000,,,,146325
1591462485000,,,,
1591462486000,,,,
1591462487000,149383,,,
1591462488000,,,,
1591462489000,,,,151481
1591462490000,,,,
1591462491000,,,,
1591462492000,154541,,,
1591462493000,,,230,
1591462494000,,,,156631
1591462495000,,,,
1591462496000,,,,
1591462497000,159690,,,
1591462498000,,,5361,
1591462499000,,,,161785
1591462500000,,,,
1591462501000,,,,
1591462502000,,,,
1591462503000,164849,,10507,
1591462504000,,,,166946
1591462505000,,,,
1591462506000,,,,
1591462507000,,,,
1591462508000,170010,,15634,
1591462509000,,,,
1591462510000,,,,172101
1591462511000,,,,
1591462512000,,,,
1591462513000,175160,,20768,
1591462514000,,,,
1591462515000,,,,177253
1591462516000,,,,
1591462517000,,,,
1591462518000,180303,,25894,
1591462519000,,,,
1591462520000,,,,182400
1591462521000,,,,
1591462522000,,,,
