"Time","0c1fc2bd43ce","1edc5b28299f","363f08b924c2","5118fb10a251"
1591438320000,,,,
1591438321000,,,,
1591438322000,,,97312,97984
1591438323000,97312,97280,,
1591438324000,,,,
1591438325000,,,,
1591438326000,,,,
1591438327000,,,,
1591438328000,76928,78240,77568,79488
1591438329000,,,,
1591438330000,,,,
1591438331000,,,,
1591438332000,,,,
1591438333000,85088,86400,85728,90208
1591438334000,,,,
1591438335000,,,,
1591438336000,,,,
1591438337000,,,,
1591438338000,94752,96704,96032,99872
1591438339000,,,,
1591438340000,,,,
1591438341000,,,,
1591438342000,,,,
1591438343000,106272,104960,106208,107488
1591438344000,,,,
1591438345000,,,,
1591438346000,,,,
1591438347000,,,,
1591438348000,113248,111360,112608,113248
1591438349000,,,,
1591438350000,,,,
1591438351000,,,,
1591438352000,,,,
1591438353000,122848,122880,122912,124896
1591438354000,,,,
1591438355000,,,,
1591438356000,,,,
1591438357000,,,,
1591438358000,,,130528,68672
1591438359000,64640,131904,,
1591438360000,,,,
1591438361000,,,,
1591438362000,,,,
1591438363000,,,,77408
1591438364000,76768,74880,74208,
1591438365000,,,,
1591438366000,,,,
1591438367000,,,,
1591438368000,,,,
1591438369000,84448,83200,82528,84448
1591438370000,,,,
1591438371000,,,,
1591438372000,,,,
1591438373000,,,,
1591438374000,93472,91584,91552,92128
1591438375000,,,,
1591438376000,,,,
1591438377000,,,,
1591438378000,,,,
1591438379000,100448,99200,99168,101088
1591438380000,,,,
1591438381000,,,,
1591438382000,,,,
1591438383000,,,,
1591438384000,107488,107520,107488,109408
1591438385000,,,,
1591438386000,,,,
1591438387000,,,,
1591438388000,,,,
1591438389000,115808,116544,115168,118432
1591438390000,,,,
1591438391000,,,,
1591438392000,,,,
1591438393000,,,,
1591438394000,,124160,,124768
1591438395000,124128,,,
1591438396000,,,94048,
1591438397000,,,,
1591438398000,,,,
1591438399000,,,,65696
1591438400000,69440,69472,,
1591438401000,,,,
1591438402000,,,98528,
1591438403000,,,,
1591438404000,,,,
1591438405000,79392,77440,,76768
1591438406000,,,,
1591438407000,,,70368,
1591438408000,,,,
1591438409000,,,,
1591438410000,132928,124608,,126912
1591438411000,,,,
1591438412000,,,106368,
1591438413000,,,,
1591438414000,,,,
1591438415000,160352,157216,,142336
1591438416000,,,,
1591438417000,,,116256,
1591438418000,,,,
1591438419000,,,,
1591438420000,103840,93824,,166208
1591438421000,,,,
1591438422000,,,124640,
1591438423000,,,,
1591438424000,,,,
1591438425000,123872,112064,,187776
1591438426000,,,,
1591438427000,,,98560,
1591438428000,,,,
1591438429000,,,,
1591438430000,,132544,,115168
1591438431000,138976,,,
1591438432000,,,108160,
1591438433000,,,,
1591438434000,,,,
1591438435000,,,,129888
1591438436000,85504,82368,,
1591438437000,,,,
1591438438000,,,117600,
1591438439000,,,,
1591438440000,,,,
1591438441000,106176,103104,,103232
1591438442000,,,,
1591438443000,,,98560,
1591438444000,,,,
1591438445000,,,,
1591438446000,118912,116544,,118016
1591438447000,,,,
1591438448000,,,108640,
1591438449000,,,,
1591438450000,,,,
1591438451000,132352,130624,,132096
1591438452000,,,,
1591438453000,,,116960,
1591438454000,,,,
1591438455000,,,,
1591438456000,101632,94112,,145056
1591438457000,,,,
1591438458000,,,126720,
1591438459000,,,,
1591438460000,,,,
1591438461000,115072,108864,,156928
1591438462000,,,,
1591438463000,,,100480,
1591438464000,,,,
1591438465000,,,,
1591438466000,,,,103168
1591438467000,129792,122944,,
1591438468000,,,109920,
1591438469000,,,,
1591438470000,,,,
1591438471000,,,,118112
1591438472000,87488,84704,,
1591438473000,,,,
1591438474000,,,119296,
1591438475000,,,,
1591438476000,,,,
1591438477000,104832,104384,,101888
1591438478000,,,,
1591438479000,,,100736,
1591438480000,,,,
1591438481000,,,,
1591438482000,119552,119104,,116608
1591438483000,,,,
1591438484000,,,109280,
1591438485000,,,,
1591438486000,,,,
1591438487000,132992,133184,,131552
1591438488000,,,,
1591438489000,,,118880,
1591438490000,,,,
1591438491000,,,,
1591438492000,102272,96064,,144768
1591438493000,,,,
1591438494000,,,88896,
1591438495000,,,,
1591438496000,,,,
1591438497000,,110784,,82432
1591438498000,115712,,,
1591438499000,,,111488,
1591438500000,,,,
1591438501000,,,,
1591438502000,,,,103168
1591438503000,130432,126144,,
1591438504000,,,,
1591438505000,,,128000,
1591438506000,,,,
1591438507000,,,,
1591438508000,90880,91392,,82432
1591438509000,,,,
1591438510000,,,148000,
1591438511000,,,,
1591438512000,,,,
1591438513000,108032,108224,,103168
1591438514000,,,,
1591438515000,,,110560,
1591438516000,,,,
1591438517000,,,,
1591438518000,120832,120384,,117888
1591438519000,,,,
1591438520000,,,131104,
1591438521000,,,,
1591438522000,,,,
1591438523000,134912,135744,,130048
1591438524000,,,,
1591438525000,,,148416,
1591438526000,,,,
1591438527000,,,,
1591438528000,102272,99264,,143488
1591438529000,,,,
1591438530000,,,164704,
1591438531000,,,,
1591438532000,,,,
1591438533000,,,,156928
1591438534000,116352,113984,,
1591438535000,,,109888,
1591438536000,,,,
1591438537000,,,,
1591438538000,,,,103168
1591438539000,131776,128064,,
1591438540000,,,,
1591438541000,,,126304,
1591438542000,,,,
1591438543000,,,,
1591438544000,93856,96704,,82432
1591438545000,,,,
1591438546000,,,136608,
1591438547000,,,,
1591438548000,,,,
1591438549000,108672,111424,,105728
1591438550000,,,,
1591438551000,,,100960,
1591438552000,,,,
1591438553000,,,,
1591438554000,126688,124864,,119808
1591438555000,,,,
1591438556000,,,110080,
1591438557000,,,,
1591438558000,,,,
1591438559000,85408,147040,,133248
1591438560000,,,,
1591438561000,,,118656,
1591438562000,,,,
