"Time","0c1fc2bd43ce","1edc5b28299f","363f08b924c2","5118fb10a251"
1591438320000,,,,
1591438321000,,,,
1591438322000,,,,66415852.00000001
1591438323000,66415704.00000001,66415704.00000001,66415708.00000001,
1591438324000,,,,
1591438325000,,,,
1591438326000,,,,
1591438327000,,,,
1591438328000,66414976.00000001,66414980,66414980,66414984.00000001
1591438329000,,,,
1591438330000,,,,
1591438331000,,,,
1591438332000,,,,
1591438333000,66413592,66413616.00000001,66413644.00000001,66413652
1591438334000,,,,
1591438335000,,,,
1591438336000,,,,
1591438337000,,,,
1591438338000,66411656.00000001,66411656.00000001,66411656.00000001,66411660
1591438339000,,,,
1591438340000,,,,
1591438341000,,,,
1591438342000,,,,
1591438343000,66410032,66410036.00000001,66410040,66410044.00000002
1591438344000,,,,
1591438345000,,,,
1591438346000,,,,
1591438347000,,,,
1591438348000,66400544,66400544,66400544,66401940.00000001
1591438349000,,,,
1591438350000,,,,
1591438351000,,,,
1591438352000,,,,
1591438353000,,66398544.00000001,66399196.00000001,66399196.00000001
1591438354000,66398540,,,
1591438355000,,,,
1591438356000,,,,
1591438357000,,,,
1591438358000,,,,66397208.00000001
1591438359000,66397204.00000001,66397204.00000001,66397208.00000001,
1591438360000,,,,
1591438361000,,,,
1591438362000,,,,
1591438363000,,,,
1591438364000,66395219.99999999,66395219.99999999,66395219.99999999,66395224.00000001
1591438365000,,,,
1591438366000,,,,
1591438367000,,,,
1591438368000,,,,
1591438369000,66262172.00000001,66262172.00000001,66262176,66262176
1591438370000,,,,
1591438371000,,,,
1591438372000,,,,
1591438373000,,,,
1591438374000,66260176.00000001,66260176.00000001,66260184,66260188.00000002
1591438375000,,,,
1591438376000,,,,
1591438377000,,,,
1591438378000,,,,
1591438379000,66258868.00000001,66258872,66258872,66258872
1591438380000,,,,
1591438381000,,,,
1591438382000,,,,
1591438383000,,,,
1591438384000,66256888.00000001,66256888.00000001,66256904.00000001,66256904.00000001
1591438385000,,,,
1591438386000,,,,
1591438387000,,,,
1591438388000,,,,
1591438389000,66254632,66254636.00000001,,66255280
1591438390000,,,,
1591438391000,,,66255276.00000002,
1591438392000,,,,
1591438393000,,,,
1591438394000,,,,66253280.00000001
1591438395000,66253276,66253276,,
1591438396000,,,66252540,
1591438397000,,,,
1591438398000,,,,
1591438399000,,,,66251276.00000001
1591438400000,66251268,66251272.00000001,,
1591438401000,,,,
1591438402000,,,66250500.00000001,
1591438403000,,,,
1591438404000,,,,
1591438405000,66249848,66249848,,66249848
1591438406000,,,,
1591438407000,,,66249144.00000001,
1591438408000,,,,
1591438409000,,,,
1591438410000,66247404,66247404,,66247412.00000002
1591438411000,,,,
1591438412000,,,66246780,
1591438413000,,,,
1591438414000,,,,
1591438415000,66246180.00000002,66246180.00000002,,66246184
1591438416000,,,,
1591438417000,,,66245528.00000001,
1591438418000,,,,
1591438419000,,,,
1591438420000,66244180,66244184.00000001,,66244188.00000001
1591438421000,,,,
1591438422000,,,66243520.00000001,
1591438423000,,,,
1591438424000,,,,
1591438425000,66241992,66241992,,66242700
1591438426000,,,,
1591438427000,,,66242008.00000001,
1591438428000,,,,
1591438429000,,,,
1591438430000,,,,66240580
1591438431000,66240576,66240576,,
1591438432000,,,66239960,
1591438433000,,,,
1591438434000,,,,
1591438435000,,,,66238508
1591438436000,66238500.00000001,66238504.00000001,,
1591438437000,,,,
1591438438000,,,66237796.00000001,
1591438439000,,,,
1591438440000,,,,
1591438441000,66237088,66237120.00000001,,66237124.00000001
1591438442000,,,,
1591438443000,,,66236352.00000002,
1591438444000,,,,
1591438445000,,,,
1591438446000,66235132.00000001,66235136,,66235140
1591438447000,,,,
1591438448000,,,66234488,
1591438449000,,,,
1591438450000,,,,
1591438451000,66233920.00000002,66233920.00000002,,66233924
1591438452000,,,,
1591438453000,,,66233216.00000001,
1591438454000,,,,
1591438455000,,,,
1591438456000,66231900.00000001,66231900.00000001,,66231904
1591438457000,,,,
1591438458000,,,66231204.00000001,
1591438459000,,,,
1591438460000,,,,
1591438461000,,66229916.00000001,,66230568.00000001
1591438462000,66229908.00000001,,,
1591438463000,,,66228912.00000002,
1591438464000,,,,
1591438465000,,,,
1591438466000,,,,66228432
1591438467000,66228428.00000001,66228428.00000001,,
1591438468000,,,,
1591438469000,,,66227856,
1591438470000,,,,
1591438471000,,,,
1591438472000,66226384.00000001,66226384.00000001,,66226388.00000002
1591438473000,,,,
1591438474000,,,66225884.00000001,
1591438475000,,,,
1591438476000,,,,
1591438477000,66225172.00000001,66225176.00000001,,66225204.00000001
1591438478000,,,,
1591438479000,,,66224464.00000001,
1591438480000,,,,
1591438481000,,,,
1591438482000,66222820,66222820,,66222824
1591438483000,,,,
1591438484000,,,66222156.00000001,
1591438485000,,,,
1591438486000,,,,
1591438487000,66221780,66221780,,66221788
1591438488000,,,,
1591438489000,,,66220840.00000001,
1591438490000,,,,
1591438491000,,,,
1591438492000,66220016.00000001,66220020.00000001,,66220020.00000001
1591438493000,,,,
1591438494000,,,66219568,
1591438495000,,,,
1591438496000,,,,
1591438497000,,,,66218856.00000001
1591438498000,66218232.00000001,66218232.00000001,,
1591438499000,,,66217468,
1591438500000,,,,
1591438501000,,,,
1591438502000,,,,66216748.00000001
1591438503000,66216724,66216728.00000001,,
1591438504000,,,,
1591438505000,,,66215952.00000001,
1591438506000,,,,
1591438507000,,,,
1591438508000,66214652,66214656.00000001,,66214656.00000001
1591438509000,,,,
1591438510000,,,66214020.00000001,
1591438511000,,,,
1591438512000,,,,
1591438513000,66213304.00000002,66213308.00000002,,66213308.00000002
1591438514000,,,,
1591438515000,,,66213004,
1591438516000,,,,
