"Time","0c1fc2bd43ce","1edc5b28299f","363f08b924c2","5118fb10a251"
1591438320000,,,,
1591438321000,,,,
1591438322000,,,1979584,1979552
1591438323000,1979584,1979616,,
1591438324000,,,,
1591438325000,,,,
1591438326000,,,,
1591438327000,,,,1997408
1591438328000,1999968,1998656,1999328,
1591438329000,,,,
1591438330000,,,,
1591438331000,,,,
1591438332000,,,,
1591438333000,1991808,1990496,1991168,1986688
1591438334000,,,,
1591438335000,,,,
1591438336000,,,,
1591438337000,,,,
1591438338000,1982144,1980832,1980864,1977664
1591438339000,,,,
1591438340000,,,,
1591438341000,,,,
1591438342000,,,,
1591438343000,1970624,1971936,1970688,1969408
1591438344000,,,,
1591438345000,,,,
1591438346000,,,,
1591438347000,,,,
1591438348000,1964288,1965536,1964288,1963648
1591438349000,,,,
1591438350000,,,,
1591438351000,,,,
1591438352000,,,,
1591438353000,1954048,1954016,1953984,1952000
1591438354000,,,,
1591438355000,,,,
1591438356000,,,,
1591438357000,,,,
1591438358000,,,1946368,2008224
1591438359000,1945088,1944992,,
1591438360000,,,,
1591438361000,,,,
1591438362000,,,,
1591438363000,,,,1999488
1591438364000,2000128,2002656,2002688,
1591438365000,,,,
1591438366000,,,,
1591438367000,,,,
1591438368000,,,,
1591438369000,1992448,1993696,1994368,1992448
1591438370000,,,,
1591438371000,,,,
1591438372000,,,,
1591438373000,,,,
1591438374000,1983424,1985312,1985344,1984768
1591438375000,,,,
1591438376000,,,,
1591438377000,,,,
1591438378000,,,,
1591438379000,1976448,1977696,1978368,1975808
1591438380000,,,,
1591438381000,,,,
1591438382000,,,,
1591438383000,,,,
1591438384000,1969408,1970016,1969408,1968128
1591438385000,,,,
1591438386000,,,,
1591438387000,,,,
1591438388000,,,,
1591438389000,1961088,1960352,1961728,1958464
1591438390000,,,,
1591438391000,,,,
1591438392000,,,,
1591438393000,,,,
1591438394000,,1952736,,1952128
1591438395000,1952768,,,
1591438396000,,,1982208,
1591438397000,,,,
1591438398000,,,,
1591438399000,,,,1945088
1591438400000,2007456,2007424,,
1591438401000,,,,
1591438402000,,,1977728,
1591438403000,,,,
1591438404000,,,,
1591438405000,1997504,1999456,,2000128
1591438406000,,,,
1591438407000,,,2005888,
1591438408000,,,,
1591438409000,,,,
1591438410000,1944672,1954368,,1952064
1591438411000,,,,
1591438412000,,,1970528,
1591438413000,,,,
1591438414000,,,,
1591438415000,1917056,1921888,,1938176
1591438416000,,,,
1591438417000,,,1960640,
1591438418000,,,,
1591438419000,,,,
1591438420000,1973696,1983776,,1913632
1591438421000,,,,
1591438422000,,,1952256,
1591438423000,,,,
1591438424000,,,,
1591438425000,1955136,1965472,,1891232
1591438426000,,,,
1591438427000,,,1978336,
1591438428000,,,,
1591438429000,,,,
1591438430000,,1944992,,1963168
1591438431000,1938560,,,
1591438432000,,,1968736,
1591438433000,,,,
1591438434000,,,,
1591438435000,,,,1947648
1591438436000,1922080,1932768,,
1591438437000,,,,
1591438438000,,,1959296,
1591438439000,,,,
1591438440000,,,,
1591438441000,1972000,1974432,,1974304
1591438442000,,,,
1591438443000,,,1978336,
1591438444000,,,,
1591438445000,,,,
1591438446000,1958624,1960992,,1959520
1591438447000,,,,
1591438448000,,,1968256,
1591438449000,,,,
1591438450000,,,,
1591438451000,1945184,1947552,,1945440
1591438452000,,,,
1591438453000,,,1959936,
1591438454000,,,,
1591438455000,,,,
1591438456000,1975904,1983424,,1932480
1591438457000,,,,
1591438458000,,,1950176,
1591438459000,,,,
1591438460000,,,,
1591438461000,1962464,1968672,,1920608
1591438462000,,,,
1591438463000,,,1977056,
1591438464000,,,,
1591438465000,,,,
1591438466000,,,,1974368
1591438467000,1947744,1954592,,
1591438468000,,,1966976,
1591438469000,,,,
1591438470000,,,,
1591438471000,,,,1959424
1591438472000,1990048,1941792,,
1591438473000,,,,
1591438474000,,,1958240,
1591438475000,,,,
1591438476000,,,,
1591438477000,1972704,1973152,,1976288
1591438478000,,,,
1591438479000,,,1976160,
1591438480000,,,,
1591438481000,,,,
1591438482000,1957984,1958432,,1960928
1591438483000,,,,
1591438484000,,,1967616,
1591438485000,,,,
1591438486000,,,,
1591438487000,1944544,1944352,,1945984
1591438488000,,,,
1591438489000,,,1958656,
1591438490000,,,,
1591438491000,,,,
1591438492000,1975264,1981472,,1932768
1591438493000,,,,
1591438494000,,,1942016,
1591438495000,,,,
1591438496000,,,,
1591438497000,1962464,1966752,,1920608
1591438498000,,,,
1591438499000,,,1965280,
1591438500000,,,,
1591438501000,,,,
1591438502000,,,,1974368
1591438503000,1947104,1951392,,
1591438504000,,,,
1591438505000,,,1952544,
1591438506000,,,,
1591438507000,,,,1960288
1591438508000,1986656,1988320,,
1591438509000,,,,
1591438510000,,,1929952,
1591438511000,,,,
1591438512000,,,,
1591438513000,1969504,1969312,,1974368
1591438514000,,,,
1591438515000,,,1966208,
1591438516000,,,,
1591438517000,,,,
1591438518000,1956704,1957152,,1959648
1591438519000,,,,
1591438520000,,,1948064,
1591438521000,,,,
1591438522000,,,,
1591438523000,1942624,1941792,,1947488
1591438524000,,,,
1591438525000,,,1929920,
1591438526000,,,,
1591438527000,,,,
1591438528000,1975264,1978272,,1934048
1591438529000,,,,
1591438530000,,,1912896,
1591438531000,,,,
1591438532000,,,,
1591438533000,,,,1920608
1591438534000,1961184,1963552,,
1591438535000,,,1968608,
1591438536000,,,,
1591438537000,,,,
1591438538000,,,,1974368
1591438539000,1945760,1949472,,
1591438540000,,,,
1591438541000,,,1950592,
1591438542000,,,,
1591438543000,,,,
1591438544000,1984320,1980832,,1960928
1591438545000,,,,
1591438546000,,,1940928,

