"Time","188e2a5d583c","26f29effeddc","4b86a2021b77","8f96fa542f8b"
1592334404000,13811,,16116,
1592334409000,13811,,16116,
1592334414000,13811,,16116,
1592334419000,13811,,16116,
1592334424000,13811,,16116,
1592334430000,13811,,,
1592334435000,13811,,16116,
1592334440000,13811,,16116,
1592334445000,13811,,16116,
1592334400000,,15407,,
1592334406000,,15407,,15971
1592334411000,,15407,,15971
1592334416000,,15407,,15971
1592334421000,,15407,,15971
1592334426000,,15407,,15971
1592334431000,,15407,,
1592334437000,,15407,,15971
1592334442000,,15407,,15971
1592334447000,,15407,,15971
1592334429000,,,16116,
1592334450000,,,16116,
1592334401000,,,,15971
1592334432000,,,,15971

